playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
3GGq4AgCWovQf9unH4OeLA,OPM Acoustic Mellow Rock,201,12161669117,Jhaedz Torres,12834
7aUxW4p4EiNx5wLGZ95BIf,OPM Acoustic Chill Songs 2022 💛,134,jyhra99st5nhex8kfo4um2dh7,buntala,11655
5n8ydY3cQUNvo6VH6C9my7,OPM Acoustic R&B,73,12793915,Tintin Bautista,6403
7vhpxu86i8iVG7PmxQtvuT,OPM Acoustic Love Songs/Ballads/Soul,311,226gg6cvmuobg2i3377x725xq,Philip Galvin,1811
6QEpyMvzyeOlpyFDZTCVBg,OPM Acoustic ,8,z9jnead90ofw0ty4iw8111dpr,binibining yena,1204
3e3suyNSg1nbRNur3tUA2Y,Best OPM Acoustic Hits,55,hbteam7,hbteam7,691
7iRajF9cyXSxDJdDgw0HDA,Opm acoustic guitar,54,w8syncmonsip0y6tu02d89r2z,Carpioanthony,573
495wM46nirk5UjOWcznVr6,OPM Acoustic Covers Playlists,49,hiiqbg871kpfby4a8k0r8ou3n,Yors,556
2kY5GH2IfdGo5eyJOqNqld,OPM Acoustic Covers,172,12126793658,Archie Arcangel,544
4Fl7HcSTGy6n9Yt6xSPwci,OPM Acoustic & Chill 2022 🎵,95,jyhra99st5nhex8kfo4um2dh7,buntala,502
017KrBv08vXEKmTAdE1hbg,Female OPM acoustic,66,0c4b7a608c2frgaga0j9i9v6l,Jds,334
4ZABvmo4y9f17bRG2f9HL8,00s OPM Acoustics,40,39j9xm2k3xu7f971sbtvx1ie5,Spotifydesktop,330
6ZjBnNtavwthZtXp2bCUAU,OPM Acoustic &  Lovesongs,247,12161998358,Erza Scarlet,208
01jyS5s5itpRpmv7rIQ5Ju,OPM Acoustic/ Classics,93,eya5nkwjkxznwy4dvy9r6hnsp,Sejisejiseji,199
0hQlSrMV614vdPL3Bu7CCi,OPM Acoustic Covers ❤️:2/8/21,50,5krrr1wyivjc2hrj10n1z0bg4,JamPang,180
6zNh6jsF5U1xL5FKuYez2D,OPM Acoustic Lovesongs 2022,99,89zgxi3vlzdneiayme5kdm3o6,Best of OPM,130
4j0EBqDVpNATVZ4GCjlvX4,19east vibes (Classic OPM Acoustic),41,31goiduypvik3wduztrbcahmhcpu,Gab Colobong,91
4eHCJKw1mxs4gfzAjoIc4v,opm acoustic instrumental,106,22efkfsprkdutzh3byi4nypuq,Mary Grace,85
4iqLoyo5Py15CmHg8BRBbt,OPM ACOUSTIC UKELELE ,22,1258229855,Jorelle S. Sabucdalao-Lopez,34
71rK5CYBdlZf7EMWoWiQs5,OPM Acoustic Hits,91,paolovangeles,P,5
3eZNAFu3m0Jvo6E93GV6Rm,OPM ACOUSTICS of the 2000S,50,themysteriousmissx,Jessica Marie Castro,2
0UicFlD55yMl5LqRPQfc16,OPM acoustic,108,z756y0ehpxc1z5w8oalfd7zsz,Pollen_sasquatch,1
2iLGiR3cUEQJC2jdILX9aS,OPM acoustic,157,315eqoyyiu5jf7mcihz7pcquwl5m,ventra,0
