playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
1zMWC6xyvmk9QHVJqzEaoc,OPM Dance Hits 90's,120,12143167999,Leonel Delantar,885
21SGN5LFobjfthLiLZMTj5,"Vic Sotto — Awitin Mo, Isasayaw Ko, Katawan, Rock Baby Rock, Tayo'y Magsayawan - OPM Dance Suite",24,22jpexxulea32ulfqijzru7oq,ED Songco Aban,850
5A8dwL0CIRl4qQanHWf0eD,80's OPM DANCE MUSIC,24,12173395373,Francis Neil Guevarra Silo,608
6lcAbGbLD9bgtI947TX656,OPM dance 2020 sayawan,21,ok0cxg1ry7yq6wzr53ijabrfc,ok0cxg1ry7yq6wzr53ijabrfc,523
7krgBInDCA8bRIKdOOFsrw,OPM Dance Hits & 70's,39,12139705736,Sahlee Santiago,441
7CxyWFVwiYgnL2OqS4ZEm2,80's OPM Dance Songs,10,12145619648,Miriam Imperial Noveno,308
6jrteSMsboAPyqxhfWwE9B,OPM DANCE SONGS,36,12149062339,Anabel Mellomida,235
2sewbeYzLoqWTxKExqjJQw,OPM dance remix,35,ftademusic,ftademusic,114
0sxX2C2Z8sgBDW5zfzYrAW,opm dance craze,84,upf3u7hc1emqx8xdhoj4pov4u,asphalt.angel,102
3pucGR1qdYiz7AQNj3fzSR,Opm dance pop,50,itssmiles96,onlywitsmile,51
2VlNJENLGLfKILXjTC3L8U,OPM Danceable Zumba,20,68is1ua1wo880ev6mc09ijchw,Arnel,44
17XLZy2Xa6Oc9uhYrf2Gv0,OPM DANCE CLASSIC,30,778eo39f6tluwp649z38k97xk,Jaguar clomera,28
5aPHZEKwshaFS8KRCrBsrG,Dongs 90's opm dance,64,carlosotto21,carlosotto21,26
47uXgmnXY6qZWNwGzdIRof,OLD SCHOOL OPM Dance RETRO,18,screechburn,screechburn,25
6dgHp8sdwo4Bf6rWAYev2X,OPM Dance Hits,47,yl8bqrcqfy99019a053l5t1lf,Twerkitlikemarkki,24
5g5ePoBrVopbFVBVjpvgft,OPM Dance of the 80's,48,xtnmd,L Christian Torrijos,14
683AARhX2MOsv42MmDki2M,70s OPM Dance Hits,23,12157996418,Lito Jose Pigar,9
5zmHHroYBivRFw9aP26xRN,OPM DANCE,50,12137992137,Jenna Cruz,9
2HJ2ONHErPunDYLv42jGY8,80’s OPM DANCE MUSIC,102,riodelosreyes88,RIO,6
1PMyf6r6xZOJwEOFwn3NBo,Old OPM Dance Hits,40,garcia.dennis,garcia.dennis,5
47GjoTMoEYCXfpjNE0hdrB,OPM Dance 80s 90s,42,31luqp3adazuzfb2hd4av46lxjdq,Lorina Dabuet,4
1goFoNbBnDoKND2MiLVfRa,OPM Dance/Rap Music,58,31j2qob3t7ck6e4a3abagkmqwrhy,Renz Cachapero,2
5KEVlyzj9X7zBT2Xu671m4,70s & 80s opm dance hits,14,jofbcano,Joannah,2
73I0ur9xAuAelb7hOxM9BE,OPM Dance,42,shella_magpantaymd,Doc_shella,1
4DJQP4SthBZu2GXkrQ4x8X,OPM Dance,29,22m3ngma2zez5s2i6lobltrri,Vic Mer,1
1ljcKEeRt56kIcn9Whfxvg,OPM dance,12,ramospatriciaann,Trish Ramos Cagampan,1
4kq0p1RSsiFIH9BaN1af1B,OPM DANCE,4,lx8eqp7o5b6sqaunuencgy8mm,lx8eqp7o5b6sqaunuencgy8mm,1
69ejVwamJx9rhpxxJj1AJ1,Opm dance,40,des-tiny25,des-tiny25,1
4bTjs6BuDfM6tBqHtr2vW4,OPM DANCE CRAZE,68,22sucbcpuxydc6ijvbglqzuiq,Lioness1029,1
7jeSkF0nRtGiyjtD89QZws,Opm dance hits,112,bqmkvm0nxlf6p2si5ehh7cfbz,Jufer Montimor,0
4cNkLkahkbKQWRyC4PyLFB,Opm dance hits,27,justmae28,Avril Mari,0
2U9fsCDVdSn3RjHr3KGkxA,OPM DANCE,40,1215163140,Rosenia Cipriano Pangan,0
7tVvEbfNL4IBXSfYsAbjxk,opm dance remix,35,jhet.diones,jhet.diones,0
