playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
3DmMzbjqvZ2PPGlQTZwiDl,OPM DISCO RETRO,20,22xdxyh26grzo7taq4v2isova,Rye Steady,1136
0Y0EhPQ9vjUekUCSjtaATa,OPM Disco,26,link3dsll,Rey Jr S.,659
4AKCr6ZPtGLHifagSBWTDq,70s OPM disco,18,denz2017,denz2017,642
4b10bxV1N4alX5jyoLro6T,70s 80s OPM Disco Fever,22,31b3jnhzpk76xwwkmjm5daga2o5u,Roel Lim,628
2wNNlDu8S2KI20mKDHl6zq,80s OPM Disco Hits,29,22r64uiucdanf7tth54g3srti,Jc Enriquez,617
1lviWBvM0c2BYSBqaQcN18,OPM DISCO CLASSIC,33,21wdwk63cvpl7t7dhhwmpdaby,Marlon Nacorda,137
0fEW3DuNds7rCmeKA4wzC5,OPM Disco Medley,6,vresco_trading,Anthony Lagrada,50
7IRzKvmbAXseYs8a1qzLzK,OPM DISCORD LASINGAN,171,937fmdfg95d9laomisyhra143,Kerv,27
3be2epqZMvjZ6jtCJTuN7y,OPM DISCO,29,216c7wxu2fd7h5gwqgxixqwhq,Lohlah Lou,24
7qDfM16awWm7wkBtqPCCW2,"OPM Disco 80's VST, Hagibis",26,gtwztju943undwzir9is2mtwr,Richard,23
2HBIfeDbeZCkHaqBBsQEiZ,90s OPM Disco Hits,11,6u1alj8ohqm2g9scrvc5w6bde,Jeff,11
5HVlnJ9wxrebAsgK4H6OLi,new opm discography ,342,matchahugger,aga,7
1vZMuxNA6JSKtOIB2f3Irx,OPM DISCOVERIES,99,migalooza,Miguel Yap,4
0GNNcVMW4W4vlPLJn1MuXO,WYAT OPM Disco Craze,20,21galrizfqro4y6rofewbnzca,Nefertiri Ostara,3
7qsHVPJDlkDi1BwUwCOMMz,OPM Disco Oldies,35,y6wed1ilzaiq9l7eoozdunr64,Dadi Madz,3
14HaLhh0hlENWViykUFB7I,OPM Discord,138,sagunno,Catherine Sagun,2
3J43jEWojKa86V6CWXax45,OPM DISCO HITS OF THE PAST,75,5zlnvxcvkuyq0i7a51wjunkvj,Nandatto-Senpai,2
3idh3oiCK6F1O7WHjaj7bc,OPM DISCO,13,ugrab751831,ugrab751831,2
2wCl3Bi7eIzZDGz86tgF25,OPM Disco Old,47,31oqnolsucjwbq5d4glrmuog3nom,Idris,1
4YsrUmtTsn5Z3bb2jT2pen,OPM Discopop,35,227enfzfhhmyqztqksek5svny,Onin Cortez,1
1WlLY7caNZbwGmhpOxkqV3,opm disco,32,fo8uv0zo4ga3eawvy5nk43l15,milo,1
4cUHGCvg3Gtd6DPEH8Nbfb,OPM Disco,33,lendmacalalad,lendmacalalad,0
58FhmcugTEoJNrZyrk6kkX,OPM Discovers,43,31prec6xhqarwir3lnmewowu7ba4,charlesjohnbdol,0
1P0mNDTod7BssfKALkuVx3,OPM Disco,17,neytsanity,Nathan Sabido 👌,0
18hP35P1kjkmonz3MBD1fY,OPM Disco,30,0v77dxrfwzq30oxva0njlxowu,Jaime,0
5kNabbd8zbyyCS6gcJcbop,OPM Disco 70s ,23,nancyngcha,nancyngcha,0
7gqtCb3sxUEFEVeH6yGPD0,OPM Disco Playlist,31,12139067846,MVHS,0
5onvvbljE4qPnUHnPgOz2f,Opm disco,72,31bfpgytho6ic7s2wzjsppayxt4u,Henry,0
0ljkzqgi4r3eUnmr6VSq00,retro opm disco,21,jmab37,Jan Bisnon,0
62xAnRVv2RzMhYhcuIhqXj,OPM Disco,15,moronjason,moronjason,0
1HCwYFSqmyOIySmbrfDdFM,OPM DISCO,11,31kbbxkte5uw57kvi55fys5pi6aq,ALULUR,0
0Dk2puf5iyGZWq2RjQ1Lxq,Opm disco,21,31qjqc7wontohki7cg7wuxfcc32u,xofedi,0
6ByTn5Mr31Crkit3o65dkB,Opm disco,25,22n2uwoiv27bfbszhsaye3ylq,Eduardo A. Visda,0
0Bkk5basZz0HoTJiHtNqH6,OPM Disco 💃🪩 90s🥸🇵🇭,37,216h3zddj2nxvxzvlkwf3mqdq,古賀 ヒロ,0
4TYa0CqfKQCqM2C5aHmc3Z,MANILA OPM DISCO 🇵🇭🪩💽,40,rithel327,rithel327,0
5mqGtMClbeddZ4XfXIDZxX,RETRO OPM DISCO,50,deejayjericho85,deejayjericho85,0
1srEQkaS2rRKJ4K4TJ6A8J,opm disco,47,zenaidaviaje,zenaidaviaje,0
7jj2kT7rf9tw3eckEOH3g4,OPM disco,8,aurora1231,aurora1231,0
1HC87vphCA0NvawiWXpGgd,Opm disco,46,12156184412,Susan Pineda,0
1athGZ80QAW6UJHNyk2JgY,OPM DISCO,72,olp55kbouf990vc6tcbj8cbgt,RAMYO,0
0PCJG6UX1FLwiWbHcTw9oe,OPM disco,15,22m7dm4lh4dxblmarpq545ihq,Nette Barros,0
345TXZnP8MoCedv8xfIYDt,OPM Disco,13,j1vbyu25rpwc8lyaoymss68cp,Days,0
6rBo1b4DttZTjgEJfRmFii,OPM Disco,13,djowki,Alvin Bonita,0
