playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country,48,janthirfir1986,musicman,851
2BzvfSU17YEFEOmNgq1yNv,opm folk songs,77,hanville17,Sandy Sandoval,451
0QDhSb7R9MRL0gihVQ3g9V,22 Anyos opm Folk song,17,dio_ulg,dio_ulg,331
1BtpyWlgrc7PP4O6sxtG6b,"OPM Folk, Rock & Country Songs",75,b4fdl43kc47qyaj5r50c1luyc,Thelmaleewyks,112
6ljbR9Jeu5wchCAD61Uy6A,OPM FOLK SONG 70's & 80's,36,z1vnwzjib3limcplm0cl5k9xw,Bhong,48
3ZmET9jhpWC0P5l9M7uML3,OPM Folk Rock/Classic,116,1171217776,Ck Klinxz,20
4p2oKGDwRobBe9Q1tdZG5F,"Freddie Aguilar, OPM Folk",143,22qg4lsucw35stwlfkjhure4i,Angelito R Orig,9
4DOHnEPHbObnQ6DKHhMqf2,OPM Folk Songs,113,u8p1dt2imdrj6i0wbvu9857xq,Romel,7
6EPSbIdPVpfTwvHYLkmye2,OPM Folk & Classics,52,12180369502,Clark Kenneth,6
2S0qBDVJzeNmiMdSOO4kEz,Opm Folk,52,12150583874,Marco Noel Tenefrancia,6
38yMH1g0HzzqKxlT6OffMG,OPM folk songs,43,ysabela.louise,ysabela.louise,3
1r7kYezx2hpZlXE94EtG7T,Opm folk song,663,oyb3qgj6h5hfh1fxlcmkl5kjr,DJ kyrie,1
1GTLcVTJAtxkyQUXw6UWOk,Opm folk songs,72,22kjbgqrdq47reu7t5tad7s2y,Nick Pallarca,1
7zMWg33LOiPUBESM6AaJag,OPM Folk/Rock songs,27,225kl2fql7pfbwarqeekresda,Jeven Yollie Ansay,1
1bLgXeng1jCf9RLI0XL8gd,opm folk rock,183,scpj0719,jeio92,1
66BIoQpz7lTNrXrgpW5Yt5,OPM Folk rock,17,eysevenex,Robby G. Tumbaga,1
0ktBs7NYryFcspCQI2bZo0,OPM Folk,41,22moco2pn25gqmzkhmfxgqteq,Josh Despuig,1
2GY8cuK5S7s5dQ9tKPuW9p,opm folk,77,213bnbhdqiv6x6co6ja2ckdkq,Dahc Arertse,1
0L7va9HtveBl7bDzQF2gic,OPM Folksongs,98,o61cmcdhaj0i30pdb099cgu5i,Eyoy,1
6uIWPZw5fQIIdGTLV60NYl,OPM folk/Country,20,12139574540,William Henry Badley,0
6mP0Ia8i9C4KvCxiSlseLi,OPM folks Songs ,26,bongbongkliano,bongbongkliano,0
3DQU62ZoA2FkTEOgPg4Qjs,OPM Folk Rock,32,all_might!,all_might!,0
5wFLuxdtJOMiSSpyGVQZYp,OPM Folk Rock,54,22mxuimke2uufiyfipce25pxy,Edralyn Catubay,0
0nQ7WyyDdFom1oc1TzOrjZ,OPM Folk/Rock,115,12167540226,Elvis Go Co,0
1KgpqJFaFIRelw64LJbsqa,The best of OPM Folk,34,dw1aysyykjux2qvxeicr5yvsk,olabear.ph,0
1r34WkaUcVUTCeeQwkC0Xw,Opm folks,24,nx47hahg4w9w4b9alwpwu2ndg,nx47hahg4w9w4b9alwpwu2ndg,0
0uIVFaweAESdgy0jrJMvwq,OPM Folk,19,tq8u5p8smkzzuohtflyti7nn0,Xtian,0
4kqNV0rzbsIaVMNVRMjm5V,OPM FOLKS,74,12177530942,Jay  Mar,0
4ddXtkcO9nvOXhOuzpTZUr,Indie OPM Folk 10x5,52,z789ygufeiofm1o1qrdl4hncr,Jun SM Nas,0
6NGaMrhKoohbOE2xWJPeb3,OPM folks,41,21b3d3w6smgpebt4qnrlnkjiy,Tin Pantua,0
5LtTFOTaK03URFeXHtN6R9,OPM Folk Song,31,harrisonimariano,harrisonimariano,0
7DAAgwX6V4vxQDcsKPfHOZ,OPM folk legend,171,jetcri,Jetcri Patungcal,0
2iyzn9xOxSyGHoSltMzVbs,Eumir-OPM Folk Rock ,107,12158052792,TD Eu Mir,0
3aps5Ia9ZFmgUiH4KEPF18,Opm folk rock& country songs collections,149,25sbbetax6pz1f3ihis6vqwz7,Lupogs,0
18XuDx5XvCu3uVjiN4QQja,OPM folk,75,31oozqbcpehilgochnxr7ipf4ci4,Philip dy,0
5sjSPNUi42uKgAkiTpn1CU,Opm folk,75,vfzhy88oy4brwlni81c4bspob,jnmae,0
2DiUt3lbwdPBSOwlQFPBi2,OPM FOLK,33,22ot3xoxjses665bsed6nlpdi,Rommel P. Jaramillo,0
6DLqZvUeUZu1p4RfCdlNfP,OPM Folk,42,jeffcoder42,garette,0
362taZDyeB7ADRsYCRam3t,OPM Folk & Rock,99,vwfcnicolas,vwfcnicolas,0
4fOC0E25ZH11HTHk599zhV,OPM FOLK ROCK COUNTRY,76,gary_aranilla-ph,gary_aranilla-ph,0
3RsImrcFduXPgmd2r7PM1B,OPM Folk Music,106,31c2barljyydhtmmmevgrfn7hrzy,WengANG,0
2o7qVw492Fzlpd2OCgyakV,opm folk songs,36,gusjus,gusjus,0
