playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌,23,5djnsmsm8ptz3n6fud62zs9qk,char,901
2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop,51,12161464469,Toni Solano,127
5S76y24STS3ytRIq9HFWtk,Opm hiphop,36,gelodioso,Mrc,17
40z3fZ2HpvrAUGrfyw5IaT,OPM Hiphop,226,xe82io08kkfv7hhnhll1ndq3l,johnynag,16
0ZJoeKuyB3lnpUXCJGwOzb,opm hiphop,96,xna3a9xd447b9sz7j0rt7qs7y,dapiamonte,7
4FqQcUHTTcfU31uuwmBjU9,OPM Hiphop,192,316bipy3v376fvxrp3psjiqe7jjm,Iyomi-degozaru,3
1lIydI17s7ewjGeuhXUkSO,Opm HipHop,183,22ldw7q6nyy5pdw7y5tzpuyki,Hznalfr,3
0kQH2BBWGPytXzqxYtaLiH,OPM HIPHOP,208,quenethmalaga03,quenethmalaga03,3
1JUdOJGLbdYLJMNrj5LgZh,opm hiphop,99,mkwnr5hhuxs78h7kbwekgdbyz,khonsuraaa 2.0,2
4JTmm7LTLvo9Cf7tFToXOn,OPM Hiphop,136,javeleonor,javeleonor,2
0yxfMnttm2ACR3wucYYs1P,OPM Hiphop RnB,110,zeroheroarjei,Arjeinomoto,1
2XaWt0g8OwsLeSeJDknaOx,OPM HIPHOP,48,317wnxhhuxazg4dwhjsbmduqeegm,rzy,1
1jTBG61kKihwYPI3IcE9E9,OPM hiphop,73,3pksah1uj0uajvdvc3xpepp8o,Karl,1
3conWfmUGXpCbNVbLIPkv9,Opm hiphop,41,xaay2210wykeoyjeiebr3pxsd,Ydnarlaocid,0
1RKYWye3pPcR8IHL7AoE3w,OPM HIPHOP,202,12149312015,Hans Magbitang,0
5Q1P67mnjNl7rxJbvpHQlt,Opm HipHop,235,31zngq6jvz5s5ueuqq7ljyz2gt7q,Joenel Gumba,0
1oFDhLlyYKRUPbSWHkyqtS,OPM HIPHOP,163,314y2gxcijojdooealp7ty7qmaqu,Jhonvincedesamparado,0
7rv3zYXZ4JWSqFlaInsXxt,Opm hiphop,40,31j7xmhd5lrdq2a6gx7p24kaaeua,Luke Daniel Umayam,0
5IUJ91q223RvswCHb8RU3a,OPM HIPHOP,122,12166352118,12166352118,0
48LawkkzVxwvWTV6gXcHx3,OPM hiphop,118,j1tvlqe2t6egc170uxwxqmlmu,ceej,0
7p8gJIYNRWvPnntDhddXet,Opm hiphop,26,2ihgjxwp632euw1wvy4orofmr,eyedea,0
2MC162qkFksaHohvxGMOWK,Underground OPM Hiphop,91,engrron,engrron,0
6QTrgz6kgJVHOzKBkxe4cY,Opm hiphop,75,31vb4hcibsmsafdzra2hm6mtk7je,Jom Miguel,0
