playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
1hAOC6gnTOAhyoMEpAGjYa,OPM Indie Millennials!,302,chrystlerrific,Chrystler Reyes,7417
5GMebpKLeH0zGTCgwH8r5z,OPM Indie Hits 2022 🌟,107,jyhra99st5nhex8kfo4um2dh7,buntala,3331
1Cepdqwn3fqbkYYS4VQYoU,OPM Indie Acoustic  ,13,z9jnead90ofw0ty4iw8111dpr,binibining yena,2363
1Itnbjoj91jxnww47NeRff,opm indie,100,xy6g4i1mza73g4gcskpw1w5ca,%,2025
3HvFZazwnCJY96LVy0ZiDR,opm indie,394,8891znc5u4w81ef52svgj74dv,옌,1610
2szfWyuiAt9g3iltG2Rf70,OPM Indie Acoustic Pt. 2,14,z9jnead90ofw0ty4iw8111dpr,binibining yena,1497
31PvMKXid9LA6bKwGFtvVO,OPM Indie Favorites,213,rooonallen,rooonallen,1466
1CxD5qWGRkQdGQyHptQPwo,OPM Indie Finds,64,z9jnead90ofw0ty4iw8111dpr,binibining yena,1187
1AzsgYSCBxajAzN6ehh4iB,Tagalog OPM Indie songs that make me feel like I'm in a Pinoy indie film,181,12144453799,Israel,1123
03hKBjW0Y3e6rJpCbcAH43,OPM Indie Mix,85,fumugrrgs9w8n51m1palilvcs,Violet Aurora,1052
35f62MzXvF7f6EAu2iP9sM,OPM Indie Chill,840,jamiejam.aniza,Jam,724
0nqk9omtPUwzRiWOUCnShb,Underrated OPM Indies (Vol. 1),449,jezer3,Jezer Rodriguez,717
7DIpjk9R5AqqJZ6nk7nk4t,OPM Indie Sumuko 2022,70,12145353088,Indie Spotify Philippines,149
6M1RroTyJQFiYojHorg4YG,OPM Indie - Southrace's Top OPM Picks,34,ncs2708nytpjfm7q224im57ak,Southrace,148
2CbrzezWdx8BWdyMSCa0N8,OPM Indie Makatulog 2022,65,12145353088,Indie Spotify Philippines,148
4sA0otiUJbScKBVTCaisch,wlw opm indie ♡,65,gisf9ftaglntxyes6c50ienoe,jazz,102
6OwUdyupGfwCT89crrOF6U,Underrated OPM Indies (Vol. 2),184,jezer3,Jezer Rodriguez,54
3A8v4gVEEyRmBG2A3mgrNw,OPM Indie POP,40,h4f7m3129zz6ijr2uxnd91wy8,Indie Radio,35
6tYaO4EtJMgirPOXERtz61,opm indie/shoegaze,164,jibf661kmykmdkr7dcmqk7gcy,rie,28
302vuKuAsPmv0ayZkdLmTB,OPM Indie Fresh,35,ap65g9d30u6n5y4lc4mxffnfs,Kevin Siquig,28
65t1yJXITFAsa41HhOQyZ3,OPM Indie bands,239,08vaqrwwphn8o4m1vvqfk9rwn,Lukas,15
1HwDQXeB78F3kp79t5UV7r,opm indie vibes,81,21z4o7nkjmcc7nlodpbgq2zcy,Ralph,12
4yz9gwBy7e3DyKW2Y3SM8K,OPM INDIE/RNB MUSIC 💯,102,nuwdoldac0ck798jk9726fiaa,AoLMusic,7
59vu9KGReoNjivai5SsMtW,OPM Indie Songs,48,12151346143,Danny Esguerra,7
0sBDMc6JE9ekO8vJpbgnn4,OPM Indie Bands,218,toyybits27,Ereston Anthony Rada,7
3albrZCOyp50cz1sK4kTW2,OPM Indie,293,khrissalea,khrissalea,5
48ONBwS4uZXjSMsS1ou1Kz,OPM Indie/Pop,70,22wa6gjuvmqm4f4y3hmvbumzi,JRV,2
2SLoxHbMVKXGtTYMTzPHC8,opm indie,35,ke0hqrl4k9a0urjkyu20iev5j,Gab Simbulan,2
3LxtUPUVE0EdiORDoSleQN,opm indie.,62,2175utmydwhq2i2h76njmt27q,pagraya,1
1Q7LEfZCKLZECwg9GhKuOx,opm indie,69,hvhvrkktsn5s7i4892ljtkmt7,dok,1
3MjY7NkLNI8If3LCpyFrXD,OPM Indie,183,trymepapa2,Zeek,0
