playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
6UQybqjNxhBBpgXz961vSs,Opm jazz,64,k3nn3thcute123,Bunsogen F Fernandez,669
7pMRhJccnRA5W7ECcUQm1w,OPM jazz & bossa nova ,98,12138180061,jovellebalani,360
5kyB6h7edF7oVG5I5j8oGW,Opm jazz relax,10,92ul8ev1fda69ve0ix0emyrzm,TIMPI,146
71Y95raXYBd5jGa6vFautQ,OPM Jazz Collection,39,joelcalleja715,joelcalleja715,121
45WMlLEHGsAazla232T5Rp,Jazz Night 🥃: OPM Bossa Nova — OPM Jazz Artists,69,31ga5toluxyvc52dukt7zsnvp2ce,RFL,58
5Nxp91jPu98acXOHEDU9cp,OPM Jazz,21,jegi157,jegi157,28
7ooudM02LajyGXtfygTmbz,🎼11)  Pinoy OPM Jazz Rhythm & Blues Classic 70s 80s,180,dgvednd58mtq28jcunlqcuuir,Boying Diego ( SBC),23
3KhwbJei8USfHAa2CMXo5g,OPM Jazz,89,eipbn6h1ni7lnguecfhb52ual,butchie,3
6r8SaFyxZz4EWjUFIohzgD,OPM Jazz,28,216mxwaem3icai546m4w6qrza,Grace Avila,2
6GrWKHrPv47ot5cYGMgF5i,OPM Jazzu,62,dannako,danna,1
1O37Kld9JoRi3pFuV4vMN0,Opm jazz,91,97kt1rpjldkqafvy5wtaqkklx,Jazz,1
2vmEUyGvP7lLnOLPtmyLzF,chibomb-opm jazz/bossa,26,itchiebomb,Chibomb,1
2mCj7BXTO0HY2SuVCJKAyr,opm jazz,56,12153037054,mukha mo,0
4QdSBJ919bvgAHFaJRYidi,Opm Jazz,16,3175imc6mjz2mkyrmt2vzldgnyge,Rafael Lapastora,0
1L2KDDVFqW3hy3es9SQq0G,OPM Jazz,23,bu08zmhlfw28zoyj7xd52gvka,Andie,0
5moG8lI7LTofK8AeMLQtk8,Makoister - OPM Jazz,59,12150614745,Makoi Velante,0
2xDqb5460w9kSTJsRaXYTN,Opm Jazz,22,jennyamoto,jennyamoto,0
60qcgW5dXLJ8w9dZCNEPCf,OPM Jazz ,24,31j7bnk7eq27d7lf2g5hpij6j7ya,Ja,0
1ClPUkJwpGa6GqLo0COnVW,OPM Jazz,41,kdo1o9ttajsg0uttd9u6hiwes,didai,0
