playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
61XRCEsdpJJ8QH8XTbY8nN,OPM Love Songs,91,12138211261,Allene Mei Ignacio,41354
2Ryzf9BECIj0fVZJwelmov,OPM Songs 2022 - OPM Love Songs Tagalog Playlist 2022 (New Filipino Song),40,redmusiccompany,redmusiccompany,27460
2jqVgkjhQz3y63W5cJMpvu,New OPM Love Songs 2022 - Tagalog Music Playlist,40,redmusiccompany,redmusiccompany,21902
51pNMfyjK9Hso2TMbykyDb,Classic OPM Love Songs,151,12163510916,Giancarlo Fernando,20518
3LNqOl5rIF1zfO8NAhswjq,OPM Love Songs!!!,108,1236257428,Gian Borbon,18585
65pSrrws2xzSVMp1evm0cD,Best OPM Hits 2022 - OPM Love Songs Tagalog Playlist,40,redmusiccompany,redmusiccompany,13228
4mZ3Go709d3vV1G60jXmVi,80's OPM Love Songs,40,12145619648,Miriam Imperial Noveno,5340
7IJS70RyGWcIfXWbmTEfid,90's opm love songs ❤,19,mqbananaq,mqbananaq,5300
4w16qpolmadIEl2zePIvRt,OPM Love Songs [Tagalog],61,12147883863,Shane Guno,4737
2lbv28JZgXPdpmcR58mpdW,Gen X OPM Love Songs,205,12139933915,Aga Agaton,4728
1Yx91ohvuDVyXA6ITq8vtG,Classic OPM love songs,149,12136622149,Mochi Velasco,2591
584HMLq3Ednoz8mLUA7458,Instrumental OPM love songs,34,7v3ulpa7kqc2yhr5s7p1lf3cg,ajajsj,2395
4mHXQho5RCT3aMyP5ydVUP,70's OPM love songs,22,22udfcijtpok4oipmc2pbdvyy,Lhyn Arasula Fontanilla,1435
7slAf02FDneSm4MthGfgQF,90s OPM Love songs,256,rdgacuma,Anj Gacuma,1158
4hna1yBcRMuUjf8SnREAv9,Rainy OPM Love Songs,108,12160366573,Ferds Comerciase,749
64odb9sDrG6VhmtIlKgSDo,New OPM Love Songs Trending 2022 Nonstop,19,2tvq3myrlj13knzi0i16txt0w,Music Lover,649
51oKznR34rbFhyVSNq2xy8,Best of OPM love songs,285,12153498616,karen,640
23J54lZob2bGDO6Nei0zof,20s OPM Love Songs,96,226plbxympzt3siv3i6rfxnxq,Jiah Maye,532
4yc9jiEZdK2MFROLUvOGCg,1990 OPM love songs,81,u3mr7l5xzu6ci8u7as2vwi1l7,yvetteibarola,485
4F1Hb11xTWja5uTJIyHDF5,Best OPM Love Songs of all time ,58,1227375948,Karlo Sto Domingo,421
4mTznPe7SRg8m3jMu1O6v5,OPM love songs 90s,65,22jqog63iadnnhlenhi2fuioq,Nino Gomez,348
1l2DQUSvvPjQ5HrtoTmbNE,Slow OPM Love Songs,33,xtian76,Xtian Sia Angeles,256
0efkhqcn4vvKQFKb9iq97o,70s-80s OPM Love Songs 😍,88,arthurryanreb,arthurryanreb,247
2gaMVxh2yEECmQyY2DEcIY,Day 6 - PM | Timeless OPM Love Songs - #WhereYouAtDalawangMilyon ,80,31pmwdvrzr553wdmbk7mohksnk24,SB19 Spotify Team,180
3MRSTqsXypRlCnV1I9kn1D,GIRLS OPM LOVE SONGS,62,22fo6teoq3dxq2ucw5vgd6nhy,Johnsmer Vellaflor,169
3hDQwgS5tN0ylkasTkZ2YH,50 Best of Moira Dela Torre OPM Love Songs,50,31f6g4ygorsmcrhh2344ugbhi7gq,MickeySky,153
2ZrQFkoo3YUq8EOrq6RqbU,OPM Love Songs: 2020,40,putolanson,Merclo Garcia,151
0Iq3b4zkPVuV8f6U5npy9C,TikTok Love Songs 2022 Tagalog - TikTok Opm Love Songs 2022 (Pinoy TikTok Mashup 2022-2023),40,31wiws3t7jnh2sbv522psrrdqi4q,#Herberus,129
1n6Q5OS5HYsVftNpTsMz9M,OPM Love Songs Cover,107,janie_cutie,Janielle Joy Saavedra Gregorio,106
45pljIamuX0EYWtm4HOSY2,RnB OPM Love Songs,45,rappastor,rappastor,103
4KfxWsWvZsgkkRm7HNOJrZ,English Opm LOve songs,35,12158198645,Emman S Neri,100
5UKdS3E4I9zcjg0aGzsoBq,Latest Opm love songs,53,21x6fvepuqftpgp4bbz2vf6ii,Jacob Ricafrente,96
59QiSiW0iUDNYuG4yXcbl7,New OPM Love Songs 2022-New Tagalog Songs 2022 Playlist,30,31bllz3kfs6fyljaj5w3oh7myyq4,"1,555,005 followers",82
4zP5iEs2wXP2r84gctgpZa,80's and 90's OPM Love Songs,67,22al4ify5pope5s2r4uw2sdwq,22al4ify5pope5s2r4uw2sdwq,69
3fmORsZlqFM7SzXBaeRKBi,Female Opm Love songs❤️😍,87,cpv0am8889zo88e6l4b6rnev5,AnaLyn Maquiñana ❤️,43
