playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022,97,jyhra99st5nhex8kfo4um2dh7,buntala,1830
5B5GrE8sL9uVkBBRmiKhiW,OPM POP ROCK,308,sterbenjay,zyon edric,395
6Mrr7MbIHOFWNJ3nMFE5F1,OPM Pop 90'S - 10'S,81,12168347365,Val Magtarayo,256
6ymzfowUmxyOXTGU64XO94,OPM Pop/Upbeat 80s and 90s,33,12146602222,Adel Dapoc,73
3vkqWvhnxbI6MNwZbKkdbq,opm popular relaxing songs,71,31uxrklhkhhr5mmnjjrb4zgmj56i,HotelBravoLima,68
3OzDTznaXuxQdINVhFRqgi,OPM POP/Rock/Rap,163,xe9zrbiocdey1kzdc2m9u5ywb,Katie,1
4V18a6FE8wt9sgiSIbyowX,OPM Pop Hits,45,ruf.sato,ruf.sato,1
2C0tqIOrxGXFNMj3xWa8hw,Opm pop dance,11,ms4b0t4ozxki1n56dlfqz7bj5,Tricia Porsche,0
3c1wYLGFsMeb6TZ5rhYnj4,Opm pop,47,31xh4wnnttjjro7cahowahizewku,Boss K,0
1ipV0DK2cjszzX3SRzeukG,Opm pop,64,jd3olr6igon5v58bvkydgs1qt,Jroi,0
