playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
6308ez0CGVlhdoffwAOd3w,OPM r&b and soul,9,z9jnead90ofw0ty4iw8111dpr,binibining yena,888
6M1lKiLEsKwnfL43O0hOOa,OPM R&B Hits 🌴🥥,204,kristina.santos28,Кристина,95
1GHPugF0giJkWSPHySXOss,OPM R&B | BALLAD | ACOUSTIC | PINOY COVERS 🔈,74,12148119091,NIKO MARTIN,89
7ow3XErgavZpbPSCMzDGMu,OPM R&B リズム,50,keanemacalincag,KeaneM,7
4viNjzm35GTrbmR5AzQ7cF,New OPM R&B Chill,45,21te3kzrzcu72po3gbvbxxgzy,Korean Monalisa,6
0CNoS6zZNfDzb2aLrVmNsp,OPM R&B,163,12146746221,Julian Sta Ana,6
4UHkEiHQWgRJUZlE3SWkM1,mond's OPM R&B picks,111,12164945526,Raymond Tacss,5
6d6wNQ5ay9DIPFqLP9t2ym,Opm R&B ,75,31pfjhqzakcxuwzvqv3fpujuerry,Dianne Duque,5
49dH0lrCrSGzeiDhhNwFNl,OPM R&B/Pop/Indie,65,ghpusubq07njy6201sp76vrnm,Shiro,4
2jPDyb3pEwnZOs8TGVQ7N1,OPM R&B Hiphop 😍,31,12174823667,karen kate,4
4CQjkZP1WfynJYPx5vXZHP,OPM R&B 🎶,44,davidvargas.sync,VargasDDM,3
1lszcPkas0NZVoUtvvJbmo,OPM R&B,67,andreistaana.15,Andrei Sta Ana,2
61RFv3TioKg8UlXBuLj1gM,OPM R&B/HipHop,32,22t25wztdzsmq4ba35lbfojoa,Alvin Soriano,2
1np3Sb3xDnIwbZ4D5ZJJus,OPM R&B,39,31nctvw3y2mnwxwcig3fofrkf34q,nico,2
1cDhPurrxQK5W44fEt2U3A,"OPM R&B: Filipino, Pinoy, Pinas",24,joshkimchi32,Josh Kim,2
1gp2uzjQHCfDgDuocAHyTF,OPM R&B,76,jb7e2wuqti8twpk4q66fi5ryu,BILLIONAIRE KIM,2
5FcdDHozkIMOEVg8lTqwjY,Ale: OPM R&B,83,r709b503ewfu51m0zjwx12twh,Asche'N Vale,1
6Oe9p8s1gn6B9VnYoEB3oP,OPM R&B,25,ubxcie79kwkwz9vodclepu8si,JE@98,1
34njVKETS3QmhSNVjLjNZR,opm r&b,20,31jf3xrhseqsspwg65zy2xcwmatu,lkrn,1
7qwMvyfiABoIQ1A3RB85XE,OPM R&B Hip-Hop,103,onarosong,onarosong,1
4gYfYQrUgx8sPUCVlm86z9,OPM R&B,251,t78vs8wup4oxsev302ny3nm8j,justin reyes,1
5dheDTO1SwWQHnryKuC4eD,OPM R&B Hits,36,jgchuck,jgchuck,0
1WpAAtOyD29p1v99leAd2x,opm r&b /rap,37,fr3z0i3zcrv3pr09vkj3cyvrl,Joyie,0
2Z90mE1ktGdZjnSHULopz6,OPM R&B/HipHop,132,22qt76kbicwc37wgejs56zgzi,Onin J Madera Rosales,0
6w4BPMd9VrtwunlkMpOMw4,Opm R&B,181,aceaguirre,aceaguirre,0
6KCZHEZh54dhYbM9uUSHnu,opm r&b,15,7820tnhpzf6teh10vmw0jdxyq,R.zignit,0
3iz4LCFUzTrI0sY7sUJBe9,OPM R&B,23,316apat2ejnrdrkacboeb4oriewe,Kean,0
0R1sPF8WjUFyPm8Fu2vz88,OPM R&B & rap,20,12182549631,Miguel Dimzon,0
5K1btq7MeL70DuvGspNgt1,OPM R&B/Hip,151,12143674543,JC Aballe,0
3EaRAtFzkV3xDlhyTP1xae,OPM R&B,21,vjhay.cruz,vjhay.cruz,0
2zQD7UkE3XaajhvZ8hpRNc,Mix Roadtrip Opm R&B,22,31bunwtmljyaf5buzkvjqw27efbe,JC,0
42t8X6s9SDtDtPpZ9HIyNX,OPM R&B,21,pclelrk1mbtb2c9abbi0mlicj,Sim,0
40EY7hZbYhaC4mQnIC5Uom,OPM R&B,17,53b2pxuf8ephzpu4t0o639163,Justerini,0
5DbzT1GkVFjYiprtMiX6uy,OPM R&B,26,31n63qtgvcjqsjorad6lqfbllx34,Mangoislandcafe,0
5NVGGNThMRNyTdoFQCKDNx,OPM R&B playlist,137,312nnzb4z6qkato7otlqq7gj6tha,Taj michael,0
1zb36EJFbOP0dap1p4OhLY,OPM R&B,60,kazandraservano09,Kaii,0
3pPPtTtaxWVK7ilgDwbjxF,OPM r&b,17,mk0v44mi4k4fhaitw8eylox9t,vd3,0
6FhDHOmRzEmTsDjHeBwBEl,opm r&b,9,12137202048,Chad Umali,0
4PVfT4YJ7fCi3DkYJeTE23,opm r&b,76,31ted5b5hdlkb6z4wd6ki2n37mki,Joielyn Nichole Mauricio,0
5rDfYE0cyRjHEowEVUyZkP,OPM R&B,13,31or2lsmh4pjmeywhluznyfadrxe,Kisha,0
2m5yhNT7bw557nz2t5Vjz4,OPM R&B,10,annjuleth,annjuleth,0
1vNGHyIVBEr436KVWblrch,Opm R&B songs,8,31tk4a63hxuo3x26hrivk6fpxcrm,Mayi,0
