playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
3iJxknKGQffZFFADEHqJJa,OPM Rap 2022,82,frankdumanlang,Frank,5279
2u6zknTadqdYk9nePzY2yW,CHILL OPM RAP 2018-2022,242,21knt7ksvrtjajafd67f546ny,Jom Tan,1925
7qCxm40IWjCworo3GNJfs5,Best OPM Rap Compilation 🇵🇭,44,213jix5qkzbdmcpladmzioppa,Jessie 🎹🇮🇹🎶,1130
0ayOvntJ7iJ1AjCtifemjb,90's OPM RAP,36,rodeliong10,rodeliong10,861
17ITmIvxgzN6ROUIxBLlOs,OPM RAP SONGS 2022,107,89zgxi3vlzdneiayme5kdm3o6,Best of OPM,762
6VRn674RrV4qBpBxw3dWEd,STIG - FLOW G & BUGOY NA KOYKOY - OPM Rap (Tagalog/Pinoy Rap 2021),34,1v1exolzja5rfce3whfd5ztqh,Kathang Isip,682
05srx8uNeqdeLR8B3AH0Wv,Chill OPM Raps,329,3viwsp5zwbvlnxnyj5q16x0pi,DarnieL,526
0y5Didei712fHnExnWlIWk,OPM Rap Metal/Death Metal/Alternative Rock,68,31slvu57zoe2hje5j3qfz27upzle,Ian Nieves 🇵🇭🔊🎶,480
2VQAGvfchrIOPRGkZ9VFIJ,OPM Rap Classic,93,g4zalgb1weeyjw5d6x07dsyca,Gian Nakpil,439
4upXROQhONDnfUUJBLLME5,OPM Rap 2019-2021,49,f1ivj8dras18xjis2y3t1tp0y,Jedi,405
27kMDrTMvnWl9sI6GkgvAu,OPM Rap Panalo! 2022,114,89zgxi3vlzdneiayme5kdm3o6,Best of OPM,239
5VGySZ4QyDygmHhdV0rxWV,NEW OPM RAP SONGS,21,31mnr5rvkvknrl45gtdd4fa7nuxu,Ma Krestle Ibon,236
5YgVHvRTYl23Q4ha2Nar7e,OPM Rap Mashup,25,31isiwxnzgood2vsqgxt4kpuplfu,Urie Manlapaz,130
2qaFi2k4mJgAJwSi5RUMgu,BATANG 90's OPM RAP SONG,55,1hwekaz0ca31m8eiibb2i9g17,Kaitokidd,96
03ppmWOzFl3mHePdPUlctQ,Opm rap mushup,70,22yypbsntjeq7lbkan37hfpaq,Mhovieqt,93
5o1MCGJ6n6HroYIvHDJFBO,Best OPM Rap Songs,44,6jbjqdfqvrb8lhdzu5vkgbavb,PツJAY,90
6tpnPC7w5IRrDFOo0Bs5M4,"Sirang Plaka Because, FTD, Lark Mester  (OPM Rap)",168,micahcalip,Micah Choo,50
51NLTciF5V2XNxnuqG9GS5,OPM RAP /Because/Raf Davis/Allmost,96,gsamsonspotify,gsamsonspotify,32
4L4HZS3M0H8S9GTJ9Telxa,Best of OPM Rap 🎶,136,12149128629,Daryl Cartagena,30
7i1BXxU9zMYKpU2AqAbgbm,Chill OPM Rap Song 2022 🔥,26,stalinjonathanb29,Prince Fries,27
