playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae,59,tagor61,tagor61,19005
47NLoPpJmuqspr4Bp1IicR,OPM Reggae,170,12148285630,J Kahlil,3810
55w5YxhEMTiemSPP5oQ8mC,Chocolate Factory & OPM reggae,26,9vrqwvhf6mwqw3vvjbma3ahh3,ROX,3110
3JZ1K6YT3gGaHMsUNh2eMV,Opm reggae medley,21,31ngudn6lxn6jdy3tfcvm2r72n3q,John Paul Gregorio,1531
2wI3iQh8IATRVOx54Z4acX,Best OPM Reggae,35,871zune60kfajk3n42witmhu4,Wanno122819,1230
0TsB27GabuouGDTOOcisC9,Chocolate Factory & Other OPM Reggae:06/12/2017,390,22wsozwmew4rxcumsln6wnz7q,Kevin Labbao Liclican,1157
4GN7j8tjjEq6jc2tGCgS6C,OPM Reggae 🚦Beach Feels,11,227ooyayod6u4oe7krmmndgki,Abu,728
2OiYpFls3gOjTNAnoSsAES,OPM Reggae 2019,24,12137381436,Choy Gannaban,701
3fxZs5WDO1BiH4KYHjfs6a,Chocolate Factory & Other OPM Reggae:14/01/2020,80,kkle5iih,kkle5iih,277
6zJJN8bNrr6jY8J9nz9RV6,OPM Reggae  and Ska,118,jpmarielle,Paul Partoza,263
1oPg6ypCO5Bl5EKNVeqa1Y,🔥Inuman's Best Opm Reggae🔥,13,layzzsu,Lylie Torres Altabarino,241
2aTXssEHRfITc3BNTIxaZq,SB19 x OPM REGGAE,60,wyanolak4oyrf5ma3e9irenqn,A'TIN Streaming Team,54
7CjIgXxa3qPrmCQobEpaqA,OPM Reggae,26,12163062738,Richville Aaron Esguerra Untalan,40
7zly6jh2cK8ZECIDBLmeL3,Sa Aking Puso (Opm Reggae Cover),19,31vtwna34d74b6ayub3emrlo4vtq,Adlin,24
1isHFB5qc1SNgjVnimhOGn,OPM REGGAE PLAYLIST,32,31dds26676sbcwz24bnpakcbsnji,31dds26676sbcwz24bnpakcbsnji,19
1effVOqzTr9t5o5b8TN5Nb,OPM Reggae Fave,117,cos_obet,Cosilyn Miranda,10
0w8OvGhjfnLxJ2yfLjZ6rv,OPM Reggae Cover,16,22omufwdacf3xbhuuu4s2odmq,Rk M. RaFol,5
4nOx33CNVeSvEr35do2y8f,Opm Reggae,114,zcmo9dy5anbkquqdhihiien67,IPE718,2
5sqvBlSs8QFLOFUaJ86jLe,Beach opm reggae,12,12168648027,Robert Pena,2
74pXJHKE3lRPekHFswnZSu,OPM Reggae,33,12141922905,Chris Cabardo,2
75VvxSBzqO29F1jCsgbUxf,OPM REGGAE,30,maxtine28,maxfly,2
5wr0iBubcBrqEbTfB2PGo2,OPM REGGAE,71,12157428791,Earl David Cachuela Famucol,2
2D0jsQEzY6gSEQA40AHds0,opm reggae,45,josieayag,Ger Ome,1
62YpQICPWSGLAzYllU7RkQ,OPM Reggae,17,romaznerol,romaznerol,1
0uLhYmKmIFs0QKTa3NoccA,Opm reggae music,67,sjopt9fonlov6newe9low429z,sjopt9fonlov6newe9low429z,1
4j5zMzHGZ81inEUIyilsoR,Opm reggae ska,82,12184438708,Jang Dario,1
0IVclbIXBpko4NLUs6jTSX,opm reggae,31,12175452334,Ma Nolo,0
4WsZCrCQUb0CVtvdFjzzRR,OPM Reggae,17,12167529979,Arnel Nalzaro Garay,0
0IoO33OC1pfPVH15Sm4cPY,OPM reggae,58,22nr6graijiefeeh433rwjcdi,ACENA FAM,0
3l8QWMPBJ7ZZhvTaf0VEqY,OPM reggae,9,thejuleserer,thejuleserer,0
1uaClAIsm8WHOk2gKhblbd,Opm reggae,13,mump89148avk502hwliszngrh,mump89148avk502hwliszngrh,0
2hYc3kHykYkAkQiwKm9oJ9,Opm reggae,35,22fvm3m7yroj2lcr5j677bada,Yel Palas,0
64oH1MjzD8A3gnLERFqMcx,Opm reggae,32,shapzzz,shapzzz,0
0lahr1EfxaX6yTqCS4Mb5L,OPM reggae,67,3176awrpr6a3y7erjscglfaytr4a,Diarollaneda,0
6Ccv2w0MLz9ePMcEltrSEo,opm reggae,38,12153096776,Redj Guanga Ogatis,0
08RU3oZVz43Zs2l4oXz8Jv,Opm reggae,9,cqwn4njemyzll9kxq2vpurzgg,Yville,0
5uYUE4ZAtxASmWTZW35cD2,OPM Reggae,31,12175562498,Julius Caesar Arco Taglinao,0
1lFTBrJnarJ3q9riDjbng9,OPM reggae,70,225bq3xwemrfwgwgwthmgaddi,Jp Mascual,0
4zR9pabkpF1kJzdKXPNKtq,OPM Reggae,10,12140188139,John Alviar,0
0cwv3nSPBW7UeoxXTx41w3,WYAT 8 OPM REGGAE,61,eugenio_ruby,eugenio_ruby,0
6t49jyhCSUIfwDtp8OEWEw,OPM REGGAE,32,tapdeles,tapdeles,0
1tiuYvPBjCL35FtxAnuXPn,opm reggae,9,6uqt5v0tu5g3pvfnlxmot0s0r,Nick & Gen,0
2FZJyVE3rLCDMltdAouC63,Fave OPM Reggae Songs,6,jebconspiracy,JebConspiracy,0
37i9dQZF1EIevGVdkMDmkR,OPM Reggae Mix,50,spotify,Spotify,0
3ZuO06OfbDrO6jcnDa13rW,OPM REGGAE,262,wtmxhptnrj714c77xys5zs81c,Daily,0
7dBwpcdPNJRvEAACf5HdgH,OPM Reggae,49,swvo0175bzgr18kuzblkruzur,Light,0
30bsRU8IcchxdV62Sohm17,OPM Reggae,17,onieabella,Musika,0
5FmXRKd8YrAI4wkzv9aLBr,Opm reggae,4,31xcdvjyfalzzpmxfjf7ir53sc4q,Chryzroma,0
1UzPOUbcpA8750EjPP83fJ,Opm Reggae,17,22mqckv4h77u7gwaikgxrodci,Franco Guevarra,0
5zGokagyh8cP2lHx3EZsHm,OPM Reggaeton,39,22dmvemgmm4jhlimmzx6rc3hy,Justin Co,0
1e2R7ot0kS4ZjgUzfh96Yt,Best Opm Reggae,17,glumxv1tjj62uhey0iyudxpu5,Noel.iglesia,0
6jmx03sW8LCUenJsRSZJ5d,Opm reggae,75,6a8t35hljsceyuwmk082ax0aq,Alita,0
