playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
2t76r0bHx984lCL0Xh9opc,OPM Rock,333,1168513315,Jervie Magsino,7299
2TzrVWutUqGsFxbrzNF7BK,OPM rock and alternative 90s - 00s,214,3zc1k4i0n292wg6kvz3s79h3x,RobbieBuenaflor,6913
75bXHC0AwXuwlKuwvCj7Wl,90's OPM rock band,244,walfridohidalgo,WalDo,3945
3YxnOW4qcAgDpNm0JKBfXD,All 2005 - 2006 OPM Rock,115,ampirino,ampirino,708
0PrNkmzeKii79HFVM3JJdA,OPM ROCK BANDS,103,ayayosuke024,nanaxxiv,634
2fghw0YDYjh7rU889GmzB1,OPM Rockbands,97,jzie.verches,Juan Carlos Verches,525
73z531FdGgWirdqI8DYOdP,OPM ROCK ALTERNATIVE,1153,calinawans1,King Calinawan,406
3WpbMg65QrfO8hdneQJhk1,OPM Rock 70's - 80's,27,tp6gyuqzxj18jqv8jmtkknp2p,Raffymonroid,342
2LJ7XbiEWjDbYodZvQDpDp,Best OPM Rock Band Playlist,251,22ee4xhthokc3bacpvzb6agsa,Nick Gutierrez Pineda,334
2Xorr2VUSN4rOHS4sfKxYo,OPM ROCK ACOUSTIC ,54,atocastillo1988,A T O,325
1mA38lKDE5p0c6wVDO9b5Q,OLD OPM ROCK,105,uy4lgpmxyc1sftfvlwdpet1qm,Jhevon Rivas,299
6GQXv1nwTDX5Dgh1aNThDl,OPM Rock Acoustic Version,22,qigpdp7w4rypl6d1e0lxxw81g,ducktoy,291
6iwDVxnKAEjqoem8fuXybw,OPM Classics 🇵🇭: Pinoy Reggae | 90s OPM Rock and Roll | Pinoy Classic Pop Rock,85,31ga5toluxyvc52dukt7zsnvp2ce,RFL,288
4gvF80YyVBEbwVEdrvSWOW,Classic OPM Rock,201,s24y1kct0qciu0sfd0c8gpix9,softie12@shooky.cf,222
1qZrv5iWQmpYWCr7CvMEiA,Your Typical HS/College OPM Rock/Alternative/Emo/Rap,340,31rwhkdlrpxoryplasbiqyxu2x3i,Erik Duval Fabiaña,161
5GbXmFKJqkKraQsVr0cPiI,OPM Rock Metal,119,mavsholyshit,Mavs Nufable Agripa,143
612dR69qiqWFdMuNnVylSy,OPM ROCKSTAR,44,eqe0riv4z2kkyo11p2a8p6aqb,Yang Ji Go,138
6D8gQS5dzPFSh7ZiYxc5Xy,OPM Rock 80s & 90s,97,12139692573,Gab RPh,113
3SwBeU87MSJWMESXPUoKmt,OPM Rock songs,30,driverforce,Morningstar,112
4UhcVeyyPb3XWUthzVzs8x,OPM rock/lovesongs 💕,267,analutas,Eyylts,73
3pyNWblGvLK2ZaKkLIo7n9,OPM Rock 2003-2008,172,12138638167,Vincent,57
0iXLmCtIgpZS20X99jAm0l,OPM ROCK CLASSIC 🤟👌,32,mz8an7v7120l9rw0rwjexlly0,MJ Lecreo,36
7h6oLT8bAOOpHlAZ0HqrAt,OPM Rock Covers,15,vzy36x5e3aeg2inh2h4ztut88,NotABadPerson,34
1Jqf1Fmj9KmzYw6Je5D7h8,OPM Rock Hits 2010,97,1294233605,Rolden Rufino,25
0s9w4fUxTUKkx5X81GVU3y,Heavy OPM Rock,103,neilnarzoles,Neil Joseph Narzoles,17
37i9dQZF1EIhG6k7FKyzy3,OPM Rock Mix,50,spotify,Spotify,0
