playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
3VXReCeetN58c1clj9u8ZK,Tomorrowland 2022 Playlist 💙 EDM HITS,110,21uvjs6vsljej5dzs5ksdwprq,The Book of Wisdom,493512
3Di88mvYplBtkDBIzGLiiM,EDM Hits 2022,119,fineshark,Christoffer Brants,361597
37i9dQZF1DXafD1g5rer7q,EDM Samplings,50,spotify,Spotify,306821
37i9dQZF1DXdVmhVVRZJ3I,Suor EDM,50,spotify,Spotify,258939
37i9dQZF1DX3Kdv0IChEm9,EDM Hits,60,spotify,Spotify,142710
37i9dQZF1DX1kCIzMYtzum,EDM,50,spotify,Spotify,108857
6PrUPPajcmqjmU9AXOsua8,Club Beats 2022 🔥 EDM Dance & Bass - The best Club Mix and Club Music,216,uuo0uc1mv6nr0fuuyfnf82iy4,AESTHETE,108780
7m1C1eHUC2kJQL69dGMjaz,Top EDM Hits of All Time,1628,22z7gq2sv2eblgvg6znceoj7q,Luke Gullickson,72716
6FjUyONoZCmdvKPfeWEohP,"EDM PARTY 2022 🎉 EDM Dance Party Hits, Slap House, Electronic Dance Charts, Main Stage, EDM Remix",132,jannisrunge,Juicy Fresh Music,72378
2HQsMPvBpywqOCFPCtcx4a,EDM CLASSICS - Tomorrowland Ultra Eletro Festival Hits Avicii David Guetta Martin Garrix Hardwel,501,12154352845,Victor Oliveira,59131
37i9dQZF1DXdIugvVnxZNT,EDM LUV <3,60,spotify,Spotify,48506
37i9dQZF1DX14rZPczlTBh,EDM Telugu,75,spotify,Spotify,25706
3vdYDhTPS1399eLUzsrPJE,2013-2015 EDM Hits,51,derickjoshua,Derick,21106
2W32HNDe5OgNsPvciLm1Ix,Best EDM Songs of All Time - Most Popular EDM Music Playlist,120,redmusiccompany,redmusiccompany,11033
1IjelnEHVvg008UVRbbSN5,Best EDM Playlist of 2022,153,elias.weber,Elias Playlists,7302
37i9dQZF1DWXxlesBECcy9,EDM Tamil,50,spotify,Spotify,6714
1F3A8TjUvzAtryta2iPn6B,EDM hits 2010-2015,206,21urnsjqewsrbty2euc2wpeby,Ardi Hakitama,6382
0ZwzB01xTSWc8aqV5tqJ8g,EDM lokal,103,21iw4v3vdrjdvptgooapa4c7i,alip,6047
0iEb4H2gN8M8UH8zw9bp9r,EDMS 2022,339,31fnbu3pmc6cje44kbe4fsj5iwui,Playlistpitching,444
