playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX4olOMiqFeqU,OPM Favorites,50,spotify,Spotify,2152363
37i9dQZF1DWXwcRDYKpcpF,Acoustically OPM,40,spotify,Spotify,624652
37i9dQZF1DWT4GbvSrNWS6,OPM: Hits of the '00s,40,spotify,Spotify,283843
37i9dQZF1DX53n2vsU9kOm,OPM: Hits of the '90s,36,spotify,Spotify,192141
46o3Vj0mHd9N6MAwOgTm03,Best of OPM Bands 90's - Present,351,12141413785,Jerome Afable,163577
37i9dQZF1DWZKNkQDWII13,Men of OPM,60,spotify,Spotify,161115
37i9dQZF1DWXjlWxUbm84A,Top OPM Artists of 2018,30,spotify,Spotify,153732
37i9dQZF1DWZaQnTjRLBcl,OPM Workday Marathon,140,spotify,Spotify,147578
42URGw4uEXPk0IcR8bC6Fi,OPM Chill Songs 2021 ☕,111,jyhra99st5nhex8kfo4um2dh7,buntala,118690
37i9dQZF1DX6i41Du3v1cr,OPM: Hits of the '80s,40,spotify,Spotify,116837
48GbTR1NRsUBoqQ0mkVMI7,poging mga tambay sa bgc opm soundtrip,59,gjn0rqsi70e4d4utwmr7qpskq,827882,79343
1RatVZEeiZzC7P785mVeWS,OPM 2000s(Batang 90s),166,lezliemalagu,Lezlie Joy Macapagal,76690
37i9dQZF1DWSVQreDCvFMf,OPM Rising,60,spotify,Spotify,74894
37i9dQZF1DX5k7rLBXjRX0,Top OPM Artists of 2019,30,spotify,Spotify,37300
3mssqdrkVBB3GMLlt2A3HA,Tagalog OPM Songs 2021 ⛺,116,jyhra99st5nhex8kfo4um2dh7,buntala,25179
2Ryzf9BECIj0fVZJwelmov,OPM Songs 2021 - OPM Love Songs Tagalog Playlist 2021 (New Filipino Song),40,redmusiccompany,redmusiccompany,24838
1XZziwW7BJQEBHewndZYx1,Trending OPM Hits 2021,121,jyhra99st5nhex8kfo4um2dh7,buntala,24212
2kHr4Fd7UP6iO4qQVsPLdR,OPM Lovesongs 80's-90's,146,darclabayo06,lumbo.klover,16930
6VgO7TCchZrvOS6kWGdOii,Filipino Love Songs ❣️ 🇵🇭  | OPM,96,oy13j90x9sykocejpxq5l84f1,WE:CARE,15805
5xlnKrv84YiScQblgBn370,Freestyle — OPM Medley and Side A,22,12159923768,Ma Ris,14059
1Xsi4Ni5uMUHH6L9jK6gXJ,Roadtrip Hits OPM Philippines,55,yajrapogi99,Yaj,12456
65pSrrws2xzSVMp1evm0cD,Best OPM Hits 2021 - OPM Love Songs Tagalog Playlist,40,redmusiccompany,redmusiccompany,12255
4rQPyqY2Hpi638XxMWUCXc,OPM On The Rise,50,playlistmeph,Topsify Philippines,10796
6INprhE5Xs56G9aVl3Y3Pf,OLD PINOY MUSIC (OPM),123,babah12,Dareil Galing,9307
7aUxW4p4EiNx5wLGZ95BIf,OPM Acoustic Hits 2021 💛,100,jyhra99st5nhex8kfo4um2dh7,buntala,8985
5CwaqOaJSqYh5JjzyDhAAl,2020-2021 Best OPM Rap Song,64,meijilyn_montes,meijilyn_montes,8211
4iMve9EexOaKNXE6D689UZ,OPM Sad Songs 2021 😢,76,jyhra99st5nhex8kfo4um2dh7,buntala,8136
2iKnbllYM1VsyzzJR4wrOg,2000s OPM Songs,176,22ox5e7jnm2kyiwuu5xqi3wiy,Miguel Alojado,7363
51pNMfyjK9Hso2TMbykyDb,Classic OPM Love Songs,149,12163510916,12163510916,7106
03y0keztuClB9rI7yJee0T,Filipino Songs (OPM),392,kevin_ogues,Kevin Ogues,6169
3iJxknKGQffZFFADEHqJJa,OPM Rap 2021,92,frankdumanlang,Frank,5234
1L6evwRHb8t2nchAPMu3CK,Pinoy acoustics and Senti OPM,89,12151339542,Ellomer Entia,4911
01VagGa8Q37WtpMcwztAU6,90's OPM band songs,99,12137428037,Edrilyn Palma de Mesa,4778
7qdfrnAwLPCp74YlPtXlbT,OPM Road Trip 2021 🚗,77,jyhra99st5nhex8kfo4um2dh7,buntala,4298
070nfjJEYA2WYT5W2gUueh,Wish 107.5 OPM,169,tnusog,tnusog,4120
2KeHBVdstYImxhQLleAEvQ,SENTI OPM HITS,247,dxvyi44fvki1qfw8infcf1qgn,EmerSonic83,4081
29LA4fKVzziBsRI4GKg1Ul,Christmas OPM,14,12183028355,Trina Carrasco,3901
3kwYFEJT2LMVB5eczbWoSS,Chill Acoustic OPM,132,mrjuliansean,Sean Zapata,3870
7vNGi4hYVXO3ElEW9UCpud,OPM Chill sa Gabi 🌜,68,jyhra99st5nhex8kfo4um2dh7,buntala,3435
0BBIpEY6pJA0sbiAhfRICf,Bass Boosted OPM,102,oito8evutqzycq3mc2spb6p96,Genrei Paul Aquino,3225
5SVVmisOjbyXtI4T3UR0fY,Mood: Sad OPM,240,21ykcqk7yvvd7wlxjvbfcdr6a,Mc Kleine Pinlac,3153
6ogbuVMmLdhiFq7IZTL2TV,OPM Top & Viral Hits 2021 📈,102,jyhra99st5nhex8kfo4um2dh7,buntala,2738
4n8dB7ns9dX7vqUSIJzg9X,Wish107.5 OPM mix ,194,cybergeek98,Francis Thomas,2582
68Li5t2673NV05B5THzO4K,Filipino OPM chill songs,51,uapkcfozjwxt1ixlcnsutjbmp,E.S,2470
0nU4CZpITlnJx3EgQ2Anqv,OPM Tiktok Hits 2021 💃,60,jyhra99st5nhex8kfo4um2dh7,buntala,2408
0Fmxj53t8gSQC0rSCh2WyE,Saxophone (OPM Instrumentals),133,21mj6siba5bhx7mqyigqxul2a,Isan Mamaril,2407
2kWBIAUd5QJoXcFJrOQ64y,OPM English Love Songs 2021 💓,122,jyhra99st5nhex8kfo4um2dh7,buntala,2102
2Wfnq1e9a7Q90EU10DGaPt,Classic OPM Rap and OPM Hip-Hop,40,12136988921,Adrian Rayco,2066
3mpzMKctf5wHdxrW0KOag6,OPM 2000s(Batang 90s),162,j7pn5e0mugn2nfmm8flcb7r0h,Malte Cannavaro,2045
3mpzMKctf5wHdxrW0KOag6,OPM 2000s(Batang 90s),162,j7pn5e0mugn2nfmm8flcb7r0h,Malte Cannavaro,2045
43THq32pvCa98fESTWRL1s,OPM latest hits 2020-2021,99,31x7lh5znqd6sb7xd63ugl4ghgpe,Aujz Alamban,1996
0g2j1bbUOjMICw3zlWO3am,Acoustic OPM 90s,101,12182753957,12182753957,1874
1WpSLWU8qh9BhdxTKpe4qK,Cinderella OPM,49,stanne-beau,stanne-beau,1848
01RXJbRpOHQxM1aWTucark,OPM Kilig Songs 2021 💑,58,jyhra99st5nhex8kfo4um2dh7,buntala,1711
5GMebpKLeH0zGTCgwH8r5z,OPM Indie Hits 2021 🌟,87,jyhra99st5nhex8kfo4um2dh7,buntala,1682
37i9dQZF1DX7vDAq4JVObB,Top OPM Artists of 2021,50,spotify,Spotify,1566
1iVUTZhogXcYrnghtlbPnE,Greatest OPM Oldies,84,2232hsrd2zuezn42jkeit2t3y,Emxiang,1429
1Q4uYvieuZTSYg3iAsBknx,Tagalog-Rock/OPM,98,mrckrdq5as4s0bu2zmggmazz3,Elaineyy,1376
2wbfvJ3I3GAoLvOeJxo3lh,OPM Maligayang Pasko 2021 🎄,104,jyhra99st5nhex8kfo4um2dh7,buntala,1212
6FLoOy6epn1O4IK0vbkFqh,New OPM Songs 2021,89,jyhra99st5nhex8kfo4um2dh7,buntala,1140
5pG8RpmKMgOKhQDdMFuyVs,OPM Break Up Playlist 💔,99,jyhra99st5nhex8kfo4um2dh7,buntala,1056
19fNGVyGo1AtpJY0w6NMOQ,OPM Pampatulog 2021 🌬,71,jyhra99st5nhex8kfo4um2dh7,buntala,993
7v3r87073RGu2YUe7bW4i4,Chill Night (OPM),149,marven2120,Marven Yuson,955
70KjasCQfZinHl13Gn8uwH,Classic OPM Christmas Songs,11,22xhcbs7v3g3gjoxap7amuijq,Leah Ferniz,929
70KjasCQfZinHl13Gn8uwH,Classic OPM Christmas Songs,11,22xhcbs7v3g3gjoxap7amuijq,Leah Ferniz,929
6sLsVaaEHldjnQwquNOSnw,TAGALOG  OPM 80s 90s,53,fnuolycda0bf2o78k2ak7z41m,fnuolycda0bf2o78k2ak7z41m,857
49wHubftRzuuq6KbAEcsLt,OPM Wedding Songs 2021 💏,54,jyhra99st5nhex8kfo4um2dh7,buntala,855
7CgQNkYMT9MmDKr7AYcR1Y,50 Best OPM Christmas Songs,50,n95iuq52ohmfssa5du8bnld42,solisjzr,851
73ya8nAATTucw313EyyIHo,New OPM Song 2021,96,michaelxian,Temple Music,788
5FsvW8PnBnUd4Gh9OFNvqh,OPM Songs 2000-2010,55,jyhra99st5nhex8kfo4um2dh7,buntala,676
1BTObMbVSvbHipYRwJx9Kr,Fav OPM,33,trellrosima,Trill,576
4sqw8A7gyQE8PaCd8bwXFI,Rainy Vibes OPM Playlist ☔,32,h5owhosjmtvxiyb8bocz99op0,DZMC-Young Communicators' Guild,569
5l7phU6G1k9Zu5zzeASnsM,MARIKIT - OPM PLAYLIST,77,1qab59c0s7b3fheypbjiivx3r,Sweet Ice,559
0asKG0q1iIOoYQIsdOx8wB,Pinoy OPM bands '90-00s,116,1184527279,Cookie Obillo,541
0asKG0q1iIOoYQIsdOx8wB,Pinoy OPM bands '90-00s,116,1184527279,Cookie Obillo,541
5tIupEvqJAiHwLZcptv0C4,The Best of OPM Bands,503,31zgivt4fom77yoqk5r2r2t7piyy,RaynseL,491
5tIupEvqJAiHwLZcptv0C4,The Best of OPM Bands,503,31zgivt4fom77yoqk5r2r2t7piyy,RaynseL,491
6AAWymcSg6JpiBUhUIfLNZ,Reggae OPM version,14,2222no5qlior6gipkaosh544a,Darell Armero Elladora,483
0cp8baKiM1q9U10rCsKU8m,Best OPM covers,57,31e7axq333neqbs53pohxjy4nufi,John Rey Serentas,374
