playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWWEJlAGA9gs0,Classical Essentials,148,spotify,Spotify,2573405
37i9dQZF1DWV0gynK7G6pD,Classical New Releases,46,spotify,Spotify,621261
37i9dQZF1DX9G9wwzwWL2k,Epic Classical,66,spotify,Spotify,483342
37i9dQZF1DWUvHZA1zLcjW,Chilled Classical,90,spotify,Spotify,432616
37i9dQZF1DX8Sz1gsYZdwj,Classical Sleep,53,spotify,Spotify,407129
37i9dQZF1DWUPafHP1BJw1,Pop Goes Classical,100,spotify,Spotify,382766
37i9dQZF1DX4s3V2rTswzO,Classical Romance,40,spotify,Spotify,374025
37i9dQZF1DX0Aaer4Jzfgm,Easy Classical,50,spotify,Spotify,356237
1ZJpJahEFst7u8njXeGFyv,Relaxing Classical,80,sonymusicuk,Filtr UK,322217
37i9dQZF1DX9OZisIoJQhG,Morning Classical,41,spotify,Spotify,321239
37i9dQZF1DX6K3W8KBiALe,Classical Moments in Movies,71,spotify,Spotify,297941
1h0CEZCm6IbFTbxThn6Xcs,Best Classical Music,122,peacefulclassics,Peaceful Classics,291967
37i9dQZF1DWVFeEut75IAL,Calming Classical,64,spotify,Spotify,280036
37i9dQZF1DX7cBprxbt1Fn,Gentle Classical,67,spotify,Spotify,254133
37i9dQZF1DX2mmt7R81K2b,Jazz Meets Classical,51,spotify,Spotify,246914
37i9dQZF1DX17GkScaAekA,Dark Academia Classical,46,spotify,Spotify,236294
6wObnEPQ63a4kei1sEcMdH,Classical Music For Studying,279,klassieke_muziek,Klassieke Muziek by Maestro Music,219734
37i9dQZF1DXd5zUwdn6lPb,Classical Focus,100,spotify,Spotify,208732
37i9dQZF1DX4P0ijJK5lUv,Classical Christmas,119,spotify,Spotify,204460
37i9dQZF1DWYkztttC1w38,Classical Reading,68,spotify,Spotify,200153
37i9dQZF1DWSw8liJZcPOI,Not Quite Classical,80,spotify,Spotify,197528
37i9dQZF1DXabrEiRjQMgs,Classical Ballet,30,spotify,Spotify,193347
36qQ3naFyPxCbbr7QpdADN,Classical Music for Reading,304,legacysweden,Filtr Legacy Sweden,154799
37i9dQZF1DWVJd52AtCSiR,Disney Classical,97,spotify,Spotify,151271
37i9dQZF1EQn1VBR3CMMWb,Classical Mix,50,spotify,Spotify,139921
5ifMsPihlkYEGCakqfqj17,Classical Piano Essentials,160,doublejmusic,Pianoramix,133411
37i9dQZF1DXbm0dp7JzNeL,Sad Classical,49,spotify,Spotify,128310
37i9dQZF1DWXBq4mDDFnfA,Relaxing Classical Guitar,37,spotify,Spotify,125177
72oczUf02H4RGoaUBC87JQ,Mozart: Classical Music for Studying,42,halidon,HalidonMusic,112533
37i9dQZF1DXafCT9DHTijq,Classical Halloween,48,spotify,Spotify,112305
3sw0t0icwozVoQP5J2Z8cX,Classical Study Music,109,peacefulclassics,Peaceful Classics,88030
37i9dQZF1DWUajed02NzWR,Classical Garden,56,spotify,Spotify,86450
37i9dQZF1DXbTR7abB7Ji7,Classical Wedding,30,spotify,Spotify,77719
37i9dQZF1DX5Lm1ZiObdc3,Feel Good Classical,40,spotify,Spotify,75566
37i9dQZF1DWXtBjoO4Thyy,The Classical Takeover: Chanticleer,68,spotify,Spotify,73987
37i9dQZF1DX8dPxJstGRJY,Classical Crossover,44,spotify,Spotify,66762
37i9dQZF1DX4QrK4j7ie9B,Classical Yoga,54,spotify,Spotify,58581
37i9dQZF1DX6EUcyVKIE73,Hindustani Classical,53,spotify,Spotify,53711
3ttT3EIioY5KlSBI3l4u5H,Classical Music for Babies,184,rogeriotutti,Rogerio Tutti,51812
37i9dQZF1DX21hEmly67Fg,Chilled Classical Covers,53,spotify,Spotify,50159
37i9dQZF1DXdYI8UeiFx9v,Classical Running,40,spotify,Spotify,47019
37i9dQZF1DX0ynPp7KaiSY,Winter Classical,50,spotify,Spotify,41112
0NvuNtZJJw481mC0jblp09,dark academia (classical + instrumental),79,hannahhlawless,hannah lawless,36499
37i9dQZF1DXdLD1ufgw60J,Classical Cooking,39,spotify,Spotify,35234
3sFlYchrFtMnxK6xY5uO27,Classical Guitar,46,sonyclassicalbenelux,Sony Classical Benelux,34675
2bKGFDfzL8eD9XgH4IsQPC,Classical & Symphony Orchestra,92,wijayadriansyah,Adriansyah Wijaya,32351
6fLmwfiN0zd93dSpRvfNU9,classical music for u to romanticize your life to,41,xzxd6oxs9v13zemn8iqi5h07u,Gaby,32287
37i9dQZF1DX0CgRlkzaOFL,Anime Classical,50,spotify,Spotify,30059
1Z7fO3bkVteGsTbVluOQoH,Orchestral/Classical Music,63,l7o1epshviqhwzmdngqe0oolj,maxwlewis,29022
3tzZNGemkwbXFH6T6r4ElA,sad classical music,78,12143118291,Joao Gabriel Monteiro,28195
0VShEpy2Jxu9iTvTCXozCx,Classical for Sleeping,40,pentatoneclassics,PENTATONE,27190
7i3N4HWWdNfMJu4Mc4BdW9,50 Best Classical Piano,80,capitolrecords,Capitol Records,24607
3yMUjKUoS5Jy3QuDtVdy1z,Classical Music ,30,0z8rt4cpwqomsl24mgjenyvjf,escanor,23583
169dDFhFzxyPdbFJX792up,Best of Classical Music,88,1215669787,Seyed MNezhad,21128
37i9dQZF1DX3LrQBSMX6aK,Indian Classical,49,spotify,Spotify,20877
37i9dQZF1DWTJgU1HZwJwV,Coffee House Classical Guitar,75,spotify,Spotify,16443
2qUTEy6hYTs1ZP7l7yPAQ5,Classical Morning,77,sonyclassicalbenelux,Sony Classical Benelux,15216
4Sx3lCvfMSvzg9UD8crYQh,dark classical,45,2k4lyw43zojzr1by9kt15ulas,sophie,14942
1UdKFAMBjM3prK7hieeqjC,Classical Movie Soundtracks,1306,dandebnam,Dan Debnam,12891
0hnMi0gLtW8atF8pesg1dI,"Mozart Lullabies and other Classical Sleeping Music for Babies and Children : Brahms, Bach Beethoven",78,7mv08ixfff01ztuchyf4r98ti,Moonlight7,12024
3nZAmcfvxCNBTKB0mz7Hgc,Relaxing Classical Music,166,jablago,jablago,10791
31mVl7TDRsto0qwvUcXD8s,Rousseau Classical,40,kiu4k4alcnzbtjgm4kweizr01,Rousseau,9315
6RPKhBTDJhkgsGEQ7hmdcx,Classical Winter,93,1253995844,Crossover Records,9270
3hLFilSnwA3LGq81mJXYFg,Classical Music Study  Session 📚,92,8b09mihz2xa64wd0h56xjfk2t,Tili,8880
609HRXJAwpHV16eqgiJBlf,classical bollywood,51,zaajrj0ypwanakgkmu8me2ebo,AriGhni,8847
51hZVU6DOvtc0bnFAk27nn,Classical for Working,83,pentatoneclassics,PENTATONE,8613
6cdeg82hgENA3J904IM7TR,Relaxing Classical Piano,187,1155850710,Stephan Beneking,8314
37i9dQZF1DWWocND3QX9kK,Classical Gems,50,spotify,Spotify,8161
2IUEKduilh9DtH1WFzOZ07,Famous Classical Piano Pieces 🎶 Most Famous Best Of Musica clasica famosa Berühmte Klassik Klavier,73,pkfkf26hk73jn9nmb2xend95z,Kristina Karlsen,7715
4gpcU8mr3JYgByhkYXZewK,Best Classical Sleeping Music,311,1218438056,Stephanie Doyle,7615
31t0f17KSwPeXgoaJmdzOF,Relaxing Classical Christmas ,226,cantstopshopping,Susan Wayman Knudson,7571
1WNeKluKIT1mUHs8iIZhxp,romantic classical,283,ibal7aclowve1c9qfwtjjay2j,Eavan McNeil,6265
37i9dQZF1DXcUv9n7At27D,Winter Classical Japan,36,spotify,Spotify,6084
3BAtH3eZHdi4vfN6ZkpGiX,Classical Music for Sleeping,103,hofmann.helena,hofmann.helena,5992
76KISV91ZXzaHdLi3GQoix,Classical Lullaby,65,unclassifiedofficial,unCLASSIFIED,5825
7nVaFbsXl5PNlLwqA7FkoM,Classical Christmas || Klassik Weihnachten,120,deutschegrammophon,Deutsche Grammophon (DG),5305
6Qec0GPqYJXGx9zmgn8jIW,Classical Cello,36,halidon,HalidonMusic,5202
77augBFphYjY7ohfwqHWNN,Sleepy Classical,29,jennacarter_,jennacarter_,4274
6NxPUn25GTHTBwIj6blqtU,classical,48,jonths62,laufey lin,4211
31bfjsyQZBtXFEX4jls2vk,Christmas Classical Music only,21,1222665124,1222665124,4047
5jQ5MmDeoMxj4r8FZYC2p5,Classical Waltzes,46,alindarin,alindarin,4016
3Zh1DAcvLngbd1qiBYEex0,Soothing Classical Music,54,alonso7sanchez,alonso7sanchez,3643
4JlJZSlmYp2y98hsuFxcit,Classical Fall🍂,84,brittney-heater,brittney-heater,2219
6Q9eapIlkO1Fc00IqMJQYC,Classical Christmas Instrumental,41,opera_glam,ms_opera_glam,2003
7xzX5M0l9bra3J0qcJeIEZ,Classical Guitar Christmas,130,leegb73,leegb73,1945
37i9dQZF1DWUqIzZNMSCv3,Classical Piano,40,spotify,Spotify,1854
1s3QwhUxEPJPnTqfb5QgdI,Classical Music for Baby Brain,119,rogeriotutti,Rogerio Tutti,1776
37i9dQZF1DX7dzHXrANAir,Classical X,80,spotify,Spotify,1740
