playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX1lVhptIYRda,Hot Country,51,spotify,Spotify,6687502
37i9dQZF1DWYnwbYQ5HnZU,Country Gold,96,spotify,Spotify,1691908
37i9dQZF1DX8WMG8VPSOJC,Country Kind of Love,85,spotify,Spotify,1509813
37i9dQZF1DWVpjAJGB70vU,90s Country,144,spotify,Spotify,1107400
37i9dQZF1DX5mB2C8gBeUM,Wild Country,141,spotify,Spotify,830397
37i9dQZF1DWYiR2Uqcon0X,Country Coffeehouse,83,spotify,Spotify,657846
37i9dQZF1DWXi7h4mmmkzD,Country Nights,90,spotify,Spotify,525551
37i9dQZF1DX7aUUBCKwo4Y,Country Worldwide Hot 50,50,spotify,Spotify,501026
37i9dQZF1DWSK8os4XIQBk,All About Country,100,spotify,Spotify,479993
37i9dQZF1DWWH0izG4erma,Country Rocks,109,spotify,Spotify,413735
37i9dQZF1DXdxUH6sNtcDe,2000s Country,125,spotify,Spotify,409658
37i9dQZF1DXbIbVYph0Zr5,Country Cookout,120,spotify,Spotify,399147
37i9dQZF1DX6RCydf9ytsj,80s Country,150,spotify,Spotify,388199
37i9dQZF1DX13ZzXoot6Jc,Country Favourites,100,spotify,Spotify,385984
37i9dQZF1DX3Ee0ngF5ZVQ,Texas Country Now,138,spotify,Spotify,368346
37i9dQZF1EQmPV0vrce2QZ,Country Mix,50,spotify,Spotify,347942
37i9dQZF1DX9hWdQ46pHPo,Forever Country,78,spotify,Spotify,337020
37i9dQZF1DX49poIUZYXp7,Women of Country,100,spotify,Spotify,321290
37i9dQZF1DXdfhOsjRMISB,Country Drive,150,spotify,Spotify,289723
37i9dQZF1DX7CGYgLhqwu5,60s Country,102,spotify,Spotify,276534
37i9dQZF1DWXepGEFFmQXJ,Fresh Country,58,spotify,Spotify,273079
37i9dQZF1DX0MuOvUqmxDz,Country Christmas,165,spotify,Spotify,272184
37i9dQZF1DXaJXCbmtHVHV,Big Country,50,spotify,Spotify,260109
37i9dQZF1DWZQIRdXaBqdE,Classic Country Drive,100,spotify,Spotify,249097
37i9dQZF1DWW7RgkOJG32Y,Breakout Country,66,spotify,Spotify,232609
37i9dQZF1DWXdiK4WAVRUW,2010s Country,200,spotify,Spotify,222749
37i9dQZF1DWZBCPUIUs2iR,Country's Greatest Hits,99,spotify,Spotify,214894
37i9dQZF1DWYP5PUsVbso9,70s Country,96,spotify,Spotify,197862
37i9dQZF1DWWnpcjfCqaW0,50s Country,96,spotify,Spotify,196088
37i9dQZF1DWSCp8Clax7tf,Legendary Women of Country,91,spotify,Spotify,144363
7lQu0IRGR1qTjWYdZbbKXE,Country Summer Vibes🤠,140,1255127429,Harrison Harper Snell,125385
37i9dQZF1DWXLSRKeL7KwM,Energy Booster: Country,150,spotify,Spotify,119341
37i9dQZF1DXdmMcgFhLQ8u,Country Heartache,75,spotify,Spotify,103209
37i9dQZF1DWYubIwLN4Hq2,Country Party,60,spotify,Spotify,101521
1mJhSx6aYQmINsZ8dG4gzU,Best country songs (greatest hits),198,tebbey671,Kevin Damia,98261
37i9dQZF1DX4bf0P6HTTom,Country Rock Classics,49,spotify,Spotify,97194
37i9dQZF1DX0vVAWnG6fKT,40s Country,70,spotify,Spotify,94403
7d85RPHimZb0gR4PlY3IKq,Top Country Hits of Today,390,seaon09,Regis Promotions,84093
37i9dQZF1DWVFzWmxRnRJH,Raised on Country,100,spotify,Spotify,83839
6wQFfOF4QYyoZhBGlhCWHZ,Today’s Country 2021,409,trosser6258,trosser6258,75825
37i9dQZF1DX7M1twJ8D6TS,Texas Country Rewind,95,spotify,Spotify,71950
7fIdjWhWzPbf1g5OSDKOXw,TEXAS COUNTRY 🌵,555,1276364988,TXForever1836,66992
37i9dQZF1DXamBAn43YNB9,Country Chill,60,spotify,Spotify,59159
37i9dQZF1DX1KHLbhJkg7B,Country Covers,100,spotify,Spotify,59080
0v4DvG8cBpHGOBOxVuVvgV,Country Rock Hits,105,joppek27,joppek27,56359
37i9dQZF1DX5OrO2Jxuvdn,Country Workout,100,spotify,Spotify,55374
37i9dQZF1DX2C6Zlz76Dq4,Country Christmas Classics,137,spotify,Spotify,48731
6G7ZJuBDKwjCrk9ftdu82D,Outlaw Country,134,hithimnotme,ramblinman66,47769
0v5AneHQFa5FYp94PCiz3e,Country Music 2021,124,l70mtbcfoapp3mst5n81hlkz9,Boisterous Pop,46222
7iwxYj68KXMrhO7W25Tfp9,Old Country Hits,285,1220472074,Tad Emerick,37050
6U8AxQBEDDW4GlzbqkoRMV,Classic Country Gold,140,travisgadient,Ty Hoelscher,36464
37i9dQZF1DX021HD78u2gQ,Irish Country,59,spotify,Spotify,33670
4uk7b8O86OwqCvPti2Ejbc,Country ❤️,182,caseyhl91,caseyhl91,33405
3G0pyfnFl1wl2aqUattY6Z,Todays Country Hits,239,khrisgerrish20,Jake Smith,32850
04l5zHU0ZsEAEhOTxi3ET1,COUNTRY SONGS 2021 🔥 Top Country Hits + New Country Songs,131,williamdzn,Soy William,26934
0jU8Dv0hsAaSGlN2BlNlpb,Country Texano 🍻🐂,150,cosmefabri,Cosme Fabri Junior,24768
17WrF3wsE02f0B711n9Dfh,Country Love Songs❤️🔥,424,megmo88,sissytelford88,22153
2dJTclveMvEtslLgQb9LV3,Country Songs Greatest Hits,147,vancerkim,Roy Arana,21717
41atVM1CMCAmZ62euTrCla,country love songs💛,338,sk0i1vow0hd5ba4ugc5jdq5tg,ryanabbey7,20747
6lT2bAPGYv1lGvYautxunn,Country Christmas Music 2021,140,osicktk,Pure Country,20153
3nzGtIfIcOkN3IrOkJaAn5,Country Bangers ,208,blakediehl-us,blakediehl,15098
37i9dQZF1DWSPwMtPQmntn,Country chez nous,100,spotify,Spotify,13770
1oZP0rggzg3Q3CmAfdGkgZ,Country🚜🪕,1589,aidan0911-us,Aidan McLaren,12833
37i9dQZF1DWXuiFJj5T7Ii,Hot Country Presents... Best Country Songs of 2021,100,spotify,Spotify,12003
24yLzqXSP3RVAeb5Jpd1ev,country✔︎,493,cgjwrxwwiusu2eiq31qr1n3sv,acschrader,11781
37i9dQZF1DX5U9LWxuimGj,Country Latino,73,spotify,Spotify,8555
5DbPMnIRSKCWPQBOJMTcHv,"Country Songs, Blues, Medleys & Love Songs",72,224fug667qxdj26ujaofojkhy,Jac Serdeña Sevilla,8316
2obrIajjdAn8043mICYF3L,Country Music Hits 80s 90s | Best Country Songs of the 80's & 90's,55,listanauta,Listanauta,7388
5nlwgoTnXjZLuHeE0p2qqg,Dark Country | Epic Blues | Country Rock,27,12161664210,Madson Souza,6884
37i9dQZF1DX3XlzkdkSVVR,Country Rock Drive,80,spotify,Spotify,6575
5Gd0BIIjaIChNtP2toNDvQ,Country Christmas Songs,92,br75p0x1ke3f074qiuhw1c2r0,Filiberto,5654
1f6rMqHAzzdaiCCjG0Dpbg,"Take me Home, Country Roads",8,buiy833ffkl0jt26yg3aepcqs,ChimpBereau,4752
4umHkRsLGHMvBViaV3W9Zq,Classic Country Hits ,163,hunter.1.hw,hunter.1.hw,4338
7gxLUDY1b49zGiYbuhXS1A,country,982,fionn_elizabeth,fionnlibert,4316
5rimuwA5Wi5EEeTDUj25wu,Country 2022 🔥 Hot Country + New  Country,72,12156607318,Jay Tighe,4228
6cfHonxirX8Alngh37x5aa,Country Rap Mix,71,oh4za0jsz0xxomw9shgk41uqn,Daniel Hill / Kemble,3828
33K9ybjtMhjwX1gavnBurM,The Best Country Music of all Time,265,3w91ycjpl88omjfc7x66a4jkw,Jerichopaulleedeguzman,3679
6umVrEBLg8pXzENh1yjEAx,Country - Folk Songs,128,michael.artita,Michael Artita,3539
0jcME6xBleGiThUYSMEDn6,Classic Folk and Country Songs,50,-abuenavista-,-abuenavista-,2850
1wdZI6ZZ2DN4w9k4qeVeFG,Old Country Christmas,110,goodrijd,goodrijd,2386
3OfTLCcwTSlgi4TE3ddIOh,Country ,58,12160227935,João Henrique Attuati,2069
37i9dQZF1DX1hFALgilvpL,Cozy Country,50,spotify,Spotify,1897
2RtnekjwIOL0CyG4bWGrUZ,Best Country Love Songs - Ultimate Playlist,56,12156607318,Jay Tighe,1784
46Peeqymt2BXm4wbBshBlw,Country Song Beach Party ☀️ ,85,12149778714,Samantha Scaturro,1254
2IyIuOzNKqygJLxrG9B1eu,Old Country Road,481,4msolzr4gkdomi86yylsyvajv,NiceBaliong,1089
3hkRknQ8zNRL6alOBbcPw0,COUNTRY ROMÂNTICO,16,22shqk4tum6umhcwvrkd56j4i,Aguinaldo Barreto,1085
7t6s7qaUEf5vYhjo5hArai,Country 🇱🇷 🍻 🛤,1417,nick_b26,nick_b26,952
2Ve886yj0uR6sG2w0nbnSS,Country🥰,270,nhunzek,Jhunzek,684
0SzkhtYlmZgJxlsgP3w5nT,Country Road reggae,31,f0.assegid,f0.assegid,623
0duOqtF6bGB3c7UURrrnMA,Country Hits of the 2000s,246,1257125636,Summer Moser,619
4oRikoZWWwlgngEi2hUTYr,COUNTRY/REGGAE SONGS,5,21m5lszoyy4dehg3iuqcrt5ma,Marron Fajardo,68
3kEPIjHwk8KO6KurkdIHDN,reggae Country Road,6,rcthomas1234,rcthomas1234,6
