playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022,206,mejoresplaylistsspotify,Filtr Éxitos,1008612
37i9dQZF1DWVCHIm2MEeIy,Electronic Circus,70,spotify,Spotify,722803
5Udnh472z0CeexGPSpdIw9,Dance & Electronicas 2021,127,x43zjmj9fxfa65thdh3xeetli,Panther's Groove,651791
37i9dQZF1EQp9BVPsNVof1,Dance/Electronic Mix,50,spotify,Spotify,530751
37i9dQZF1DX8AliSIsGeKd,Electronic Rising,56,spotify,Spotify,504458
37i9dQZF1DX3XuTDjo5z5z,Electronic Concentration,79,spotify,Spotify,258170
0bHmCeYImRqGQoGz8clIah,dark electronic beats // music to escape reality,124,9rn7brfa1vc5yomz3r115w8kf,dreamscape,164874
37i9dQZF1DWYUYYlhkTuEn,Yoga Electronica,74,spotify,Spotify,162038
37i9dQZF1DX0wMD4IoQ5aJ,Electronic Focus,193,spotify,Spotify,152530
37i9dQZF1DWZaNRXtvIrDt,Top Shelf Electronic,100,spotify,Spotify,117202
5OuwluOQwdzeTMc3ZqTHcI,Electronica 2010-2022,238,my4bu71zjwuu57jcyay5x39cw,SH,89009
37i9dQZF1DX4Y1uAfxGdKJ,Electronic Running,87,spotify,Spotify,87775
37i9dQZF1DXaRycgyh6kXP,Electronica Romantica,100,spotify,Spotify,77188
6CgvQqyN3Ixe2Krvbifvzq,Electronica 2010-2022,147,zlmx8agg8h6lx665nm1kurh7a,TG Music,60644
4IbCcDqXKvgQ1sI8gzSozK,HOUSE 🍉 Electronic & Dance,102,mtynmzp3udvds0hvrjmyu2fpd,Cammo Network,60120
37i9dQZF1DX9WbnZpHWMaI,Women of Electronic,68,spotify,Spotify,55917
74ezTINHWGRWbYh3eaoX9x,Electronic,41,4wdi11tctuv9fdgzzfja2ybg6,Day & Night Records,50774
57rLc4B0AUS2yKNwP9IMUr,Electronic Chill & Deep House,105,uoak,UOAK,48834
7q2eT3jWtDS3kmBera7nHL,Electronic Music Hits,97,gmsxgtpuzm557sv2idgxligym,ELECTRIC LINE MX,48221
37i9dQZF1DX1T3AaSrgy9r,Generation Electronica,88,spotify,Spotify,41514
37i9dQZF1DX2zhLcnFr1qI,Electronic Christmas,37,spotify,Spotify,36302
3Kqd6uerMwLLZfpf5yTyaE,Trending Electronic,50,6kzd9j1pipmblwpcuj9q3apej,Inked Eclipse,35154
5c30wPSxoNd2yfIT34TeWt,Electronica Para Hacer Ejercicio 2021 💪,53,11124443444,Naeleck,31124
4AaI5JUSdgBftklrhPLYkr,Chill Electronic & Pop Music - Wave Music's Favorites,78,wavemusicyt,Wave Music,29540
37HLVqejqdh8awORkmNZja,Electronic Mind,28,47ctkbt63xiaoragg1i4y9mdf,Just Wave,27287
2GUwFw2M07yBIJW0wH3zhd,ELECTRONIC DANCE VIBE,34,siyjif1krnn4l6au4n62hjd6t,Dark Strings,26965
3JzZOJvFK6dzQqrOv4pr9z,ELECTRONIC DANCE & WORKOUT,38,0cs7etqobrbg4mycltxzvris4,Electro Circus,26900
37i9dQZF1DWXMLSZjxlOBA,Electronic FM,80,spotify,Spotify,26714
4sjsye4xyuVeYFQh0MJlMG,Electronic Chill,80,enhanced_music,Enhanced Music,26289
5iWkh8AdzeQnhFOrKNAgZE,Running Electronic,64,0kmr74dvwji0xg530pqx0w7wr,Select,21911
6JRThxNc7CJ4vwmQ7WJJ7Z,Electronic Hits,70,0kmr74dvwji0xg530pqx0w7wr,Select,21870
1UgtXbZ2qRGqD2qFKmLrED,Electronic Energy,27,dfs0qjm97zx61rm8c0qlj70nm,Make War Not War,18270
