playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
5WNUX6jisX0NRlVDTm6RDd,HipHop 2021 / 2022,168,sonymusicentertainment,Filtr Sweden,423309
38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022,235,kpu7ttyvk94i360ju1ym63upj,Desired Music,269877
5QjgJ20xSbkyfDY2iPERtz,Japanese Lofi HipHop,164,thebootlegboy,thebootlegboy,190281
57hiFNeo50O5eILOXnYQ1i,Rap Workout. HipHop Bangers.,22,edmembassy,Embassy Music,123272
0DulSdpXA37vBwOWcYGNz3,Old School R‘n‘B & Hiphop,219,1123744733,Reema Abid,120029
0nzin6g8Uh5zdL8Y5h7xHh,HipHop Switch,50,khjwnpytxcewznvhxa1njg5e1,Upstate Matter,92429
37i9dQZF1DX0Eftsfm2dbT,+81 Connect：J-Hiphopの「今」と「その先」,70,spotify,Spotify,87745
5TZkls9cEOzWDR6qCxwDot,HipHop 2021,163,theswingingturtle,The Swinging Turtle,87340
0C2zyPdlkbWHrwVg9gqNdU,90s Rap | 90s Hiphop | Old School Hip Hop House Party!,158,mammenag,Anish Mammen,58609
4X52HPxkyj1MQRV4UulYns,StreamBeats Hiphop (Official),167,3goqul1iqkj8a3ka2s0a07ptr,StreamBeats Official Playlist,55872
69vdaiEsh0aqye5VsgSIcI,HIPHOP 🔥 Rap 2021,98,mtynmzp3udvds0hvrjmyu2fpd,Cammo Network,50256
1dUybpaQwCyaYhJG6IAzHp,HipHop Twisted,50,31nemrrkpoqze5ofdznpiujqfi4q,90sMatter,47964
6aPDvVJbmO41jCpTolXLmn,HipHop 2022,159,kpu7ttyvk94i360ju1ym63upj,Desired Music,45064
5zWx4nzIkTxHM5fPS6MHnJ,Svensk Hiphop & Rap,125,sonymusicentertainment,Filtr Sweden,44307
1y64UZ5AyRTnMn7d59U8RJ,Hiphop Killers,50,fqio566c97vkg1utsxozyg6m8,Heart Of Hip-Hop,41478
4hyjKnCbeRAI7FCyi4KnI4,Hiphop Squad ,50,q1wxii4y4p1jgxpovyazy4bov,Teenage BraveLife,41445
