playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz,164,spotify,Spotify,2356441
37i9dQZF1DXbITWG1ZJKYt,Jazz Classics,200,spotify,Spotify,2347636
37i9dQZF1DX0SM0LYsmbMT,Jazz Vibes,300,spotify,Spotify,1982458
37i9dQZF1DX4wta20PHgwo,Late Night Jazz,100,spotify,Spotify,1914958
37i9dQZF1DWTbzY5gOVvKd,Jazzy Romance,70,spotify,Spotify,1088570
37i9dQZF1DX8Kgdykz6OKj,Jazz Rap,100,spotify,Spotify,932085
37i9dQZF1DXa1rZf8gLhyz,Jazz for Sleep,109,spotify,Spotify,916684
37i9dQZF1DX5OepaGriAIm,Women of Jazz,125,spotify,Spotify,823114
37i9dQZF1DXbOVU4mpMJjh,Jazz Relax,100,spotify,Spotify,708859
37i9dQZF1DX2vYju3i0lNX,Chilled Jazz,141,spotify,Spotify,650482
37i9dQZF1DWV7EzJMK2FUI,Jazz in the Background,188,spotify,Spotify,527644
37i9dQZF1DX55dNU0PWnO5,Jazztronica,80,spotify,Spotify,523946
37i9dQZF1DX7YCknf2jT6s,State of Jazz,50,spotify,Spotify,506210
37i9dQZF1DX5D4gDh3HAsM,Christmas Jazz,50,spotify,Spotify,467606
37i9dQZF1DX661EjJOj3Tu,Latin Jazz,100,spotify,Spotify,449788
113odxCsdUcH8vijDvX5Dp,"Jazz Fruits Music  🎸 jazz music to chill, relax, work, study",2270,a902190,Strange Fruits,403731
4vCAD6vcB6mSElLM1Whb4r,Chill Jazz Vibes 🎷 mellow jazz beats & jazzhop,85,vcdikomxn7xuhp0ci0pn31pn9,Chill Beats Music,394021
37i9dQZF1DWTALrdBtcXjw,Jazzy Dinner,58,spotify,Spotify,373940
37i9dQZF1EQqA6klNdJvwx,Jazz Mix,50,spotify,Spotify,322244
37i9dQZF1DX3SiCzCxMDOH,Jazz for Study,128,spotify,Spotify,315867
37i9dQZF1DXdwTUxmGKrdN,Smooth Jazz,50,spotify,Spotify,305900
37i9dQZF1DX71VcjjnyaBQ,Good Morning Jazz,75,spotify,Spotify,304370
37i9dQZF1DWZv6UE8BMPO0,Christmas Cocktail Jazz,68,spotify,Spotify,289491
37i9dQZF1DXbHcQpOiXk1D,Jazz UK,75,spotify,Spotify,245044
37i9dQZF1DWU0r6G8OGirN,Cozy Christmas Jazz,53,spotify,Spotify,222515
37i9dQZF1DWTcEjayzrZ4x,Lazy Jazz Cat,130,spotify,Spotify,198349
37i9dQZF1DWYxwmBaMqxsl,Rainy Day Jazz,88,spotify,Spotify,189693
37i9dQZF1DX7UE7qrnkvsf,Jazz for Autumn,96,spotify,Spotify,174929
37i9dQZF1DWU6MDxlH7Sr1,Cocktail Jazz,81,spotify,Spotify,163671
37i9dQZF1DWXHghfFFOaS6,Acid Jazz,90,spotify,Spotify,162932
37i9dQZF1DWUb0uBnlJuTi,Jazz-Funk,80,spotify,Spotify,156135
3zf2ZaAhIhTBPAYSAiIGkd,🎷JazzHop Lounge,85,vcdikomxn7xuhp0ci0pn31pn9,Chill Beats Music,155825
37i9dQZF1DXdziGPHNE40t,Jazzy Morning,86,spotify,Spotify,145628
37i9dQZF1DWU5TxeYcalut,Jazz Brasileiro,100,spotify,Spotify,133572
37i9dQZF1DWXSyfX6gqDNp,Evening Jazz,89,spotify,Spotify,126704
37i9dQZF1DXdTVYB0r28zn,Jazz Today,500,spotify,Spotify,117620
37i9dQZF1DX5YTAi6JhwZm,Happy Jazz!,50,spotify,Spotify,104352
37i9dQZF1DWZrhFFq3bnGV,Jazz Anak Negeri,119,spotify,Spotify,93999
37i9dQZF1DX1S1NduGwpsa,Jazz Club,50,spotify,Spotify,88369
