playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DXaXB8fQg7xif,Dance Party,125,spotify,Spotify,4759582
37i9dQZF1DXa2PvUpywmrr,Party Hits: NYE 2022,75,spotify,Spotify,4037418
37i9dQZF1DX7F6T2n2fegs,Throwback Party,150,spotify,Spotify,3076531
37i9dQZF1DX8FwnYE6PRvL,Rock Party,80,spotify,Spotify,1985953
37i9dQZF1DWVcbzTgVpNRm,Latin Party Anthems,125,spotify,Spotify,1970085
4em3xR5YVCP33dIyksqgnh,BTS Party! ,102,myplay.com,Filtr US,1871150
37i9dQZF1DX9EM98aZosoy,Partyhymnen,50,spotify,Spotify,1150679
37i9dQZF1DX9oegrjMzKDW,The Party Hits of the 2010s,100,spotify,Spotify,1041251
37i9dQZF1DWVWiyE9VDkCO,Party Deluxe,100,spotify,Spotify,962398
37i9dQZF1DX9vJ2U3sN7xj,Farruko's New Year's Party,80,spotify,Spotify,923490
37i9dQZF1DX0IlCGIUGBsA,Ultimate Party Classics,80,spotify,Spotify,815941
37i9dQZF1DXdgnLr18vPvu,Tailgate Party,100,spotify,Spotify,809174
37i9dQZF1DX802IXCAaWtY,90s Dance Party,70,spotify,Spotify,742828
37i9dQZF1DX4RDXswvP6Mj,K-Club Party,50,spotify,Spotify,737957
37i9dQZF1DX4Y4RhrZqHhr,Beach Party,223,spotify,Spotify,727193
37i9dQZF1DX0MXH7aN4Pxn,PARTY MODE,100,spotify,Spotify,683013
37i9dQZF1DX1BlWKDM98c2,Pinoy Party,40,spotify,Spotify,423562
37i9dQZF1DX4gOolUyeDaQ,Pool Party,80,spotify,Spotify,408647
37i9dQZF1DXd5DCuoVuFY3,House Party,120,spotify,Spotify,398353
37i9dQZF1DX26MMm9GTjCc,Christmas Party,50,spotify,Spotify,377456
37i9dQZF1DWTujiC7wfofZ,Indie Party,200,spotify,Spotify,374535
37i9dQZF1DX7tZql9TtyhL,TBT Party,100,spotify,Spotify,319745
37i9dQZF1DXe9hay4VT07f,Dancehall Party,60,spotify,Spotify,268677
37i9dQZF1DWXti3N4Wp5xy,Pop Party,100,spotify,Spotify,266970
5xS3Gi0fA3Uo6RScucyct6,Party Songs 🥳 New Years Party,146,0nigkw5to60vo8y7dl2n9o79u,Julia Michaels,249782
37i9dQZF1DXcSzYlwgjiSi,Party Cove,124,spotify,Spotify,246125
37i9dQZF1DWSjibQnF0bUk,Afro Party Anthems,60,spotify,Spotify,228932
37i9dQZF1DX5hHfOi73rY3,Warehouse Party,50,spotify,Spotify,197145
4tuReEKVsupVoQOldfIpiu,Party Mix 2021 🎉 Silvester 2022,100,dertraudel,Remixes & Mashups,196744
37i9dQZF1DWTUfv2yzHEe7,Filmy Party,60,spotify,Spotify,192422
37i9dQZF1DWV67mFOgnpbl,Party Hard,90,spotify,Spotify,187773
5oKz4DsTP8zbL97UIPbqp4,Dance Party! Best Dance Hits,435,ua8ynqkuc9ku64gnck4p86c77,Lost Records,186671
37i9dQZF1DX6xnkAwJX7tn,80s Party,150,spotify,Spotify,169758
37i9dQZF1DXdo6A3mWpdWx,90s Party,150,spotify,Spotify,168420
37i9dQZF1DX2nwuHNKim4S,Karaoke Party,35,spotify,Spotify,157533
37i9dQZF1DX8EyMj5jl6Tz,The Remix Party,125,spotify,Spotify,156645
37i9dQZF1DX7e8TjkFNKWH,Party Hits 2000s,150,spotify,Spotify,154475
37i9dQZF1DWWylYLMvjuRG,Party Hits 2010s,150,spotify,Spotify,140901
37i9dQZF1DX3AdAEX3vkB1,60s Party,131,spotify,Spotify,122368
6IfGK9nLC9ChgD7FTZzkLJ,Party Hits 2000-2021,223,l.wintjes,Iris Nelen,117091
37i9dQZF1DX2CqFedmO3RP,Party Chale On,56,spotify,Spotify,103159
0VXArnmEB0FQFGt4m4WwYU,2000-2010 party,131,erlemaido,Erle Maido,103105
37i9dQZF1DWYubIwLN4Hq2,Country Party,60,spotify,Spotify,101530
37i9dQZF1DX1Hya1sRqqxI,70s Party,150,spotify,Spotify,83971
37i9dQZF1DX0nA91dV2ts4,Tamil Party Time,79,spotify,Spotify,83180
3MnaeVYyif6bTqO2PO8wVU,HOUSE PARTY 2021 🔥,170,6xddx5z3wcit5u3roh2u7rfis,TERMINAL UNDERGROUND,82355
37i9dQZF1DX9xdJ1j2eMr3,House Party Hits,45,spotify,Spotify,74864
72O6JgPamztlXQeYaYo8LO,Mexican Party Music,106,jesus.moreno4062,jesus.moreno4062,68371
37i9dQZF1DWYTNedJ22GVG,Family Christmas Party,104,spotify,Spotify,66810
4pDc5hu99c1qSPqKp57yEB,PARTY MUSIC 2022 2021 🥳,100,pacificspain,Pacific Spain,63852
37i9dQZF1DXbdrcAZnP3Cy,Mexican Party Anthems,90,spotify,Spotify,63203
37i9dQZF1DWVyasWqYs9Zi,Family Party,100,spotify,Spotify,56211
1eSmMnPYycDLqUvZtFxiSr,Russian Party Hits🇷🇺🎶,104,ouvu1qqiz78q688yfea2ac54c,marschmi,55387
5g8vHznbv4PXihJDyWjMAo,PARTY SONGS 2016-2021,331,u1mgivcemy3cvbzbxs3q6t081,SAKSHAM,44391
37i9dQZF1DWZdcdjsv83gQ,Telugu Party Time,77,spotify,Spotify,44191
3aD2DXwVlBHQDyyah5DzhH,BEST THROWBACK PARTY HITS 🎉,750,12147233841,DMAN,43944
37i9dQZF1DWTABUarzWcyu,New Year ki Party,60,spotify,Spotify,37377
37i9dQZF1DWSwFS0Z6E1ep,50s Party,150,spotify,Spotify,37262
3lot3HM1GHmXDzJFt1cjTb,Punjabi Party Songs,85,22heqfqtjmbl7rdifqhaf5lba,Shivank Garg,35005
6G3fFII5kqz800uPlIQazG,Party Songs 2021 ⭐ Hits 2021,205,partyfiesta!,partyfiesta!,34680
37i9dQZF1DWSOb6VfKLO9H,Party Tunes,200,spotify,Spotify,34650
37i9dQZF1DX2HHjMIdUJ8Q,Party Hits 2010's,70,spotify,Spotify,34388
2sSpEdU6r7D2ytpxlWTK4M,80s DANCE PARTY,50,headtiltentertainment,headtiltentertainment,33535
4bU3mmeykgdSMtmwlJh09x,Christmas Party 2021🎄🎅,212,myplay.com,Filtr US,31560
4KGN4cukzUogULJujr8xrH,Party Songs of the 2000's,175,p.dipadua3,treyboytellem,26202
37i9dQZF1DX4IlXDVSi4zz,Tulum Party,55,spotify,Spotify,25751
4NnvZQ0GXDQgSZtuCkjfz3,HOUSE PARTY BANGERS🏠🔥,80,vrooke--,Kyle,25217
1P27ra5VqAizmkcUzVAvp2,Kids Party Songs 2022 🎉,70,ywuydivm5d8upiut8z0ylm4sh,Den Haku Records,24383
5eW0m33awFXeGj971B5Qpp,"80, 90’s, 00s’ Party",79,dailymixfr,dailymixfr,22030
3ba6w8ldKCmJN8IxI8ClXm,Bollywood Party 2021 🔥,283,ashvi10,Ashvi,21300
7E8Qv0JN7bvBOE5fzpHqTt,Party Playlist,318,12181663120,Jacob Zam,19405
7lTfsY5pPGWeqX1D79SYb2,Hindi Party Hits!!😎😎🤩🤩🥳,114,7kq81tvu8j5ltpkwmvx24wkqp,WELP🤪,18131
0q1di38xTtJS21GjOtaeNb,Latin Party 2021 🌴,16,12142273751,Wall Music,17783
2uVkazxZu8L5FnsexExK6s,party bangers,229,hollieotoile,hollieotoole,15296
5pqje2rZibSndJZoO4ZKCe,DJ Party Remix🎧🥁💥,243,12175340961,Royce De Luna,15123
2Sxd5BovYwLgRg6KyZOTer,PARTY 2000 2010 🔥 Nostalgia Pop Top Hits Dance Radio Summer Music Classic Friday Mix,94,12154352845,Victor Oliveira,14896
37i9dQZF1DWTbCTQUrf6sj,R&B Party,115,spotify,Spotify,14612
57mNC119tTcPulrOwxIjhn,Party Songs 2000 to 2021 - Best Party Music 2000 to 2021 (Popular Party Hits 2000 to 2021),150,mg14jl14tabxkiz10eifwgz8z,Redlist - Fresh Charts,13942
6c6BZgM7j9WsnyEx0dfdKL,Party-Schlager!🔥🍻,444,ntschasche,Niklas Tschasche,13570
44ry55vGORMJErUilwde1x,PARTY HITS MIX 2022  🎉 FEIERN 🥳 PARTY SONGS DIE JEDER KENNT 🔊 SILVESTER 2022 🍾 SAUFEN 🍻,121,toughstuff!music,Tough Stuff! Music,12290
0xxIkPs46dM8p6FSFh9B3n,🇹🇷 party,70,ecekusje,@ece_u,10571
6lre0An0V7YFE1HJUnMgnE,Party Songs 2022 🎉 NYE Countdown,73,312avoycbyo353bvbqm2mpdnghjy,Unplugged,10083
4kmy5xTShvxdJU2gMzUmRR,90er Partymix,187,213md2q6ovm6k7nlyggathhki,Laura Teubner,8892
59Sv6uVEBVf3NVWUUoA6Zq,Party in the USA 🇺🇸,295,elsapham1007,Elsa Pham,7230
0Kefopi1g5YIGT4qrFnDac,CHRISTMAS DANC3 PARTY,31,c6ri2u4qn4ha6kj43ezk84l8f,jessicaashlyn,5647
4WLzV9VQu3gTmwoJciUKNp,Party Mix 2021/2022🎉Party Music 2021/2022🎉Party Hits 2021🎉Party 2021🎉Dance Music🎉,261,0z6yq0v3nb31akt98wbqdpipc,VipmusikRecords,5383
0ZTkBxeVWI3xuJGYgh8fz9,PARTY LIST 🎉,34,22deenhsxvocyt5rxd3yiznta,Deanna Wong,4092
4OGP819mqVXashEtTBwZuc,Party Hits 2000/2010er 🎉,306,lenas.sophie,Lena,3587
0hINLwwaU20loo5AUApJyR,PARTY,193,lgchee,Lily Chee,1911
7DnDkRxrHQcBNdG8qTbbSV,party,59,2jncq2setvxns1t9orq7hceuf,laur4a,1144
7yVQJDiNNNHGAujOMaHzue,PARTY JOUR DE L'AN,73,alexandrelabonte5,XxxSweater_DragonsxxX,532
6jQUIbps3hjjZEbF2Q53PF,Party de Noël & jour de l'an - Noël québécois - Chansons pour chanter et danser - PhilouZone.com,398,22lezbzua6lylxpnq4dlabf3a,PhilouZone.com,359
5Tw3qF5EsSIwHcPvSpdaJR,PARTY MASHUP (HINDI),76,31vfanqxvgxkk3duiaj4lkbz5j4q,Tirthankar,328
3ZozvnfBm1muAL9Tfhc4hg,party favor – Billie Eilish,7,21blg5jkvpcvhsa37wggsgofq,Jacob Bialowicz,222
3pTOHqL3JIRIwNlwDJH2Fz,Party,557,lv4hwldladwqenukwz7xoa518,steffen,149
7uef8unuxbWgcL0D39B7Rd,party 🥵,362,vcxp7g7x03jpw7lzbv4dh5dmq,candee garavaglia,132
4Zh1CSVGrpaRsJdf9AFhDo,Party🥳🍾🎉,216,31sibqlf6qlqhoskghnvrczffjhm,Thijs Baken,94
0S1tVr58CxVmV3XaCRCKvV,party:),248,8wna50qgt2uwp63be5bowg9zp,Lauralucialfss,62
0S1tVr58CxVmV3XaCRCKvV,party:),248,8wna50qgt2uwp63be5bowg9zp,Lauralucialfss,62
