playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWTwnEm1IYyoj,Soft Pop Hits,100,spotify,Spotify,5737659
37i9dQZF1DX50QitC6Oqtn,Love Pop,100,spotify,Spotify,3425120
37i9dQZF1DX9tPFwDMOaN1,K-Pop Daebak,50,spotify,Spotify,3390867
37i9dQZF1DXcZDD7cfEKhW,Pop Remix,100,spotify,Spotify,3265586
37i9dQZF1DWUa8ZRTfalHk,Pop Rising,85,spotify,Spotify,2388124
37i9dQZF1DWVLcZxJO5zyf,Pop Brasil,60,spotify,Spotify,2291192
37i9dQZF1DX3WvGXE8FqYX,Women of Pop,70,spotify,Spotify,2254840
37i9dQZF1EQncLwOalG3K7,Pop Mix,50,spotify,Spotify,2096093
37i9dQZF1DXa9wYJr1oMFq,Pop Punk Powerhouses,50,spotify,Spotify,2027104
37i9dQZF1DWSpF87bP6JSF,La Lista Pop,50,spotify,Spotify,1934802
37i9dQZF1DX6ThddIjWuGT,Latin Pop Classics,100,spotify,Spotify,1767642
37i9dQZF1DX0A8zVl7p82B,Christmas Pop,166,spotify,Spotify,1694426
37i9dQZF1DWWEcRhUVtL8n,Indie Pop,125,spotify,Spotify,1643460
37i9dQZF1DX4YhSbTs17ha,Sólo Pop,90,spotify,Spotify,1481855
37i9dQZF1DXbIGqYf7WDxP,Pop Chillout,100,spotify,Spotify,1300229
37i9dQZF1DWUaThf8nMdW6,Best of '00s Pop,50,spotify,Spotify,1285203
37i9dQZF1DX5gQonLbZD9s,Pumped Pop,60,spotify,Spotify,1210715
37i9dQZF1DX3YMp9n8fkNx,90s Pop Rock,75,spotify,Spotify,1086982
37i9dQZF1DX9ASuQophyb3,Türkçe Pop,50,spotify,Spotify,1018589
37i9dQZF1DXaPCIWxzZwR1,Pop Sauce,101,spotify,Spotify,996690
37i9dQZF1DWVlLVXKTOAYa,Pop Right Now,100,spotify,Spotify,946552
37i9dQZF1DXcxvFzl58uP7,Bedroom Pop,115,spotify,Spotify,921003
37i9dQZF1DX3sCT1ItXgNd,Pop con Ñ,60,spotify,Spotify,874837
37i9dQZF1DXasneILDRM7B,Pure Pop Punk,100,spotify,Spotify,816634
37i9dQZF1DXbcCmWfoUaw2,00s Pop Run,50,spotify,Spotify,794177
37i9dQZF1DWSVtp02hITpN,The Pop List,81,spotify,Spotify,706218
37i9dQZF1DX6Cy4Vr7Hu2y,Women of K-Pop,64,spotify,Spotify,693660
37i9dQZF1DWYVURwQHUqnN,Pop Urbaine,50,spotify,Spotify,645794
37i9dQZF1DX4FcAKI5Nhzq,K-Pop Rising,57,spotify,Spotify,622839
37i9dQZF1DWTPDzakLfYZr,Popetón,65,spotify,Spotify,586800
37i9dQZF1DXbKGrOUA30KN,POPLAND,60,spotify,Spotify,556394
37i9dQZF1DX0MLFaUdXnjA,Chill Pop,100,spotify,Spotify,516662
37i9dQZF1DX9L93gfg5cPa,Mega Pop Mix,200,spotify,Spotify,498747
37i9dQZF1DXarRysLJmuju,Pop All Day,100,spotify,Spotify,483212
37i9dQZF1DWW6EwN6CPxGO,Funk Pop,65,spotify,Spotify,462258
37i9dQZF1DX1WhyP6stXXl,Pop Brandneu,50,spotify,Spotify,446393
37i9dQZF1DWSoyxGghlqv5,Pop Study,60,spotify,Spotify,396170
37i9dQZF1DX0vHZ8elq0UK,Energy Booster: Pop,150,spotify,Spotify,375094
37i9dQZF1DX8mWv7JDZ0Ht,Pop Leve,90,spotify,Spotify,372462
37i9dQZF1DX1H4LbvY4OJi,Happy Pop,80,spotify,Spotify,356354
37i9dQZF1DX5cc7vmfioLh,Yabancı Pop,75,spotify,Spotify,333382
37i9dQZF1DX6ec78YGWIGS,Pop Argentina,100,spotify,Spotify,327323
37i9dQZF1DWTyTiBbDrmml,Pop Clásico,100,spotify,Spotify,307342
37i9dQZF1DX8ttEdg9VJHO,Feelgood Pop,70,spotify,Spotify,277226
37i9dQZF1DWV7FWPDK0Dg1,Flamenco Pop,75,spotify,Spotify,269173
37i9dQZF1DWXti3N4Wp5xy,Pop Party,100,spotify,Spotify,266970
37i9dQZF1DX9VAqVAZ6EMr,Hinos Pop,50,spotify,Spotify,266603
37i9dQZF1DX2cNqJ4LgCMf,Popland 2010-2019,100,spotify,Spotify,264684
37i9dQZF1DXboDblu798Pk,Get Popped!,90,spotify,Spotify,260200
37i9dQZF1DWZQaaqNMbbXa,Dance Pop Hits,150,spotify,Spotify,252075
37i9dQZF1DX2d27idkCNWu,Pop Acústico,90,spotify,Spotify,243789
37i9dQZF1DXdcGcdKNYAG0,Pop Schlager,50,spotify,Spotify,226515
37i9dQZF1DX7C2BlYJgCS5,Pop Klassiker,60,spotify,Spotify,225506
37i9dQZF1DWZ88lB6YFCc1,Slow Pop,75,spotify,Spotify,216310
37i9dQZF1DWUSKuTscFFGY,Nouveautés Pop,50,spotify,Spotify,210840
37i9dQZF1DWWqmEAq7L8jI,Radio Pop,100,spotify,Spotify,210722
37i9dQZF1DWSThc8QnzIme,Pop Drive,140,spotify,Spotify,189502
37i9dQZF1DWSBZhfF4ZHr8,Fraîche Pop,50,spotify,Spotify,174720
6mtYuOxzl58vSGnEDtZ9uB,Pop Hits 2000s - 2021,387,maka_97,maka_97,167217
37i9dQZF1DWYBkvNBaUBeu,Pop Rising Philippines,87,spotify,Spotify,149368
37i9dQZF1DWYRNXjFoiid2,Ultimate Pop Gaming,120,spotify,Spotify,135707
37i9dQZF1DX0tIXxCeVLSQ,Graffiti Pop,50,spotify,Spotify,122154
37i9dQZF1DX1dCsSMSXSsP,Pop Shots ,50,spotify,Spotify,117155
37i9dQZF1DX1ngEVM0lKrb,Pop Internacional,100,spotify,Spotify,100101
37i9dQZF1DWYPTWocTjneQ,Pop Chile,100,spotify,Spotify,98191
37i9dQZF1DX3VggiUuuCh4,POPLAND presents - Best Of Deutschpop 2021,50,spotify,Spotify,92748
5TDtuKDbOhrfW7C58XnriZ,Pop Hits 2021,62,digster.fm,digster.fm,85927
3vULfbikdfylmVbv31uYAC,Workout Pop Music 🧘‍♀️ Upbeat Pop Workout  ,164,9z6ia73w6pt44c1zo5y8nhxqn,Musicgirl,84991
31ymdYCITDnZRtkKzP3Itp,Popular Music 🍭 2021 Hits & Best Music of the 2000s,100,midnightstudios,midnightstudios,84423
37i9dQZF1DXbUM0JoD68tI,Flamenco Pop: Clásicos,100,spotify,Spotify,80815
37i9dQZF1DX9cp1suxagma,Pop Colombia,100,spotify,Spotify,69097
37i9dQZF1DX6ViL9RcFABv,Pop PT,75,spotify,Spotify,68208
37i9dQZF1DWWwF1YkSKLlU,Punjabi Pop,72,spotify,Spotify,65759
37i9dQZF1DXatFAWyNT5ad,Pop Rock,80,spotify,Spotify,55577
2kKzN3kRYDzBctlaWs7CP2,LATIN POP 2021 🔥 Pop latino actual,141,williamdzn,Soy William,54107
37i9dQZF1DWSFWSTYGmXDl,Cozy Christmas Pop,122,spotify,Spotify,50679
37i9dQZF1DWZJK5zKU2L45,popt,60,spotify,Spotify,49356
37i9dQZF1DWVbb8LK4P3Mg,Christmas K-Pop,100,spotify,Spotify,47093
3xWjN8wbQuSEEsrwSdN8AI,POPULAR KPOP DANCE HITS,183,2dtfolgfjnc6rs50ogq4rkkiv,k,29218
37i9dQZF1DWY1a46ekdZyU,Pop per Bambini,60,spotify,Spotify,25633
0c9G8yxTfhDC10MxDTr6bj,Pop Danthology 2010-2021,430,1182726331,David Spångberg,23500
1Rtr1I1ywnWCgUtOoihrDb,POP DANTHOLOGY 2012,63,pedroncolla,pedroncolla,22432
37i9dQZF1DWXEprqI4yMB2,Navidad Pop,50,spotify,Spotify,17252
5FaXjpzV6zj0L0CJHyhk2r,PoP,112,as8y7h8ixl2fmgcgzvy274gru,Ariel Walton,16464
4YhsLchD2GIWilyDOq7uxZ,Christmas Pop 2021,138,digsterpop,Digster Pop,16098
1HqsJYeH5kbHjb4Ytrikmx,Weihnachten Pop/Rock,87,littlemoi!,littlemoi!,15915
0n3ydoZmAIehk3Vu3NWLRa,"Pop Rock Brasil 80, 90 e 2000",162,mateusfaustini,mateusfaustini,15580
5EaAjUcMLiEPsWUue9runp,Pop Songs 2021 🍭Top 40 Vibes,69,2gxb9qe48uht0u4iygs365l8r,Pop Gold Playlists,11915
3VtaNCpyW5OHWzxEu8BTKY,Pop Punk Rock | All Time Favorites,131,chasquared,Cha Gomez,11384
2drOjurq5SDrQcGYKGqBUm,POP - Sem Filtro,46,qttgpqp49h2su22vf31zuva0a,ElementairePE,9660
6Eqkon0vjpLmYOc5z3LLUq,Pop Rock Nacional - As Melhores,99,u3gtpq19v8gdzf33mjjqwmtjv,hotspotlists,8708
5ukjzDYQbGbsz82BtKQjCg,Pop 90’s Español para Chavorrucos,187,mynameisponny,Victor Mayorga,8460
37i9dQZF1DX7CIEOLL0MSp,Merry Pop Treats,75,spotify,Spotify,6818
1Hjoo4esX3zH91reU3EObM,TikTok Popular Song's,110,b0s97t7btia3q3uve5yh9d80j,Wira Sempana,5289
37i9dQZF1DX4qRxePakggX,Karácsonyi Pop,63,spotify,Spotify,5024
58nYnGqCMy1otD7z8HAg7U,pope is a rockstar,96,chariz654,chariz,2808
0q00ksRVEAEjqbWQUGDmt0,The Best POP-ROCK HITS,164,jasoncuray,jasoncuray,2570
1uXfXquBnmyw9wO4FymXun,Pop Danthology 2012 - Mashup 50 Pop Songs,65,set7digital,ErrorPlays,2001
0UaJKbMhru6sy9jRCA7RtL,Pop Dantology (Mashup),302,cristian.aspe04,Cristian Aspe,684
0UaJKbMhru6sy9jRCA7RtL,Pop Dantology (Mashup),302,cristian.aspe04,Cristian Aspe,684
