playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWYmmr74INQlb,I Love My '00s R&B,40,spotify,Spotify,3759509
37i9dQZF1DX6VDO8a6cQME,I Love My '90s R&B,45,spotify,Spotify,2762610
37i9dQZF1DX2UgsUIg75Vg,Chilled R&B,50,spotify,Spotify,2188378
37i9dQZF1DWSfMe9z89s9B,Alternative R&B,100,spotify,Spotify,1175872
37i9dQZF1EQoqCH7BwIYb7,R&B Mix,50,spotify,Spotify,883491
37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B,50,spotify,Spotify,714627
37i9dQZF1DXbirtHQBuwCo,TrenChill K-R&B,70,spotify,Spotify,708436
37i9dQZF1DX1wNY9tfWQsS,Women of R&B,50,spotify,Spotify,430512
37i9dQZF1DX2WkIBRaChxW,R&B Right Now,75,spotify,Spotify,344688
37i9dQZF1DXch2nNxu927l,Suprême R&B,60,spotify,Spotify,301244
37i9dQZF1DX04mASjTsvf0,R&B Classics,100,spotify,Spotify,226885
37i9dQZF1DWTUHzPOW6Jl7,Energy Booster: R&B,101,spotify,Spotify,191812
37i9dQZF1DX7J2y2eWxEnR,R&B Connect,68,spotify,Spotify,182119
37i9dQZF1DX7FY5ma9162x,R&B Favourites,100,spotify,Spotify,150828
37i9dQZF1DWWWvWJNPeyJE,Sexy R&B,55,spotify,Spotify,141894
37i9dQZF1DX6EQe4DjJNfI,R&B Brasil,75,spotify,Spotify,139691
37i9dQZF1DX942d1NzGgzk,R&B UK,60,spotify,Spotify,105529
37i9dQZF1DX6GYkg76TRV8,R&B Feels,90,spotify,Spotify,99092
37i9dQZF1DX2LoIIQLAhdb,R&Bae,40,spotify,Spotify,87968
37i9dQZF1DX3ORvAIr1RbU,Hip Hop + R&B FM,100,spotify,Spotify,87466
1Os7m597ihMJ4xTohCkZIz,R&B Hits 2021,140,savz8vts72hqdy7von3mqc29g,Esydia,76834
37i9dQZF1DXdqxfWN3raU3,R&B Latino,100,spotify,Spotify,72127
37i9dQZF1DX4CB6zI8FWXS,Groovin' R&B,60,spotify,Spotify,72063
4jCtgTbM8IfhB551206q6P,2000 R&B Hits,213,12155088627,LT-Dawg008,71110
7Ll3CWx8VwRan0FFamai5X,Throwback R&B 90s/00s,248,karstensince96,Karsten Panopio,61676
1UQxILdfMFpi4kWrqAw1ux,R&B 2000s Greatest hits,350,spotifylorentsen,Lars-Erik Lorentsen,49075
2rfXtgFM3UipfMHWndRmZ2,Korean R&B,333,223an5eyftvbjv3vbyqoi5sxq,Tommy Khong,43417
37i9dQZF1DXdSavJjIP6Fb,Bollywood R&B,31,spotify,Spotify,42195
1kzWYGpdZ5pDESETQa63mr, R&B Throwback (90’s-00’s),458,12174746424,Niela ♥️,32097
4m49b9mciovQ0DbAFzYgPJ,R&B Throwback Taste,32,7qd1jgro6baz9osd2nheobug8,Color Shapes,27115
48JKvamcscC4gqKNGn2xql,chill r&b 🥰💫,296,1270290233,julaine,21787
7L6ikepzfFeNbSK8waDgY6,"R&B Christmas Jamz (Christmas R&B, Hip-Hop, and Holiday Soul)",509,1214292915,Bryan Tii,19407
37i9dQZF1DWTbCTQUrf6sj,R&B Party,115,spotify,Spotify,14603
4AuktheTIhtljbnnFXti9e,R&B Pop Radio Mix 🎹😌,116,etw66g5m7o9sy5v3yt8i2lwl9,SPICEYRAP,12628
6bJqBjXDDXJnOp2qhsn7Zg,SOUL R&B,139,cristiandavid012,Chris Dracox,9590
7gVRP4rL1Yox8ID09ROvjN,"⭐""R&B""",20,vn99t75a9wcj231czkzl1ozrn,onesung,7944
2zHqbfjXihlo16LgCjpgMD,R&B/Soul (2021),419,d.lindo97,Daimz,7836
3nP5UbikyX55GtsC7xr0h2,R&B Love Songs Collection,191,hex30.mgm,Gerald Mallari,7698
2yErHwW3rFeEtrhlGV3Zol,R&B Christmas Music,47,1252183810,Whitney Marie,6874
37i9dQZF1DX7PmlEGx13u9,Certi: R&B,50,spotify,Spotify,6812
4jQ6XB3f0NBtak8FxjiJI3,R&B Playlist 2021 - Today’s TOP R&B Hits (New RnB Songs Playlist),40,redmusiccompany,redmusiccompany,6073
4YManWexm9G1pPcUNmlmVx,R&B Christmas❄️🎄🎁,85,1ecjs518mhhuopripgr1bq84h,Auji,5265
37i9dQZF1DXcSC8oOed07w,Are & Be Presents Best R&B Songs of 2021,50,spotify,Spotify,5033
3SsPWyQnAh1ccWEXZPYaCY,R&B 2021 - Best R&B Songs Playlist (RNB Music 2021),60,redmusiccompany,redmusiccompany,4640
6APJBVO9zAf4oG809JMTMt,R&B chill,242,12144223584,Shad dequit,3356
3NBWFZfxK3V7cCBdNaXPHO,R&B Love Songs 90s and 2000s - Best R&B Love Music from the 90s & 00s (Playlist Updated in 2021),100,wwoa833lqlqevvvogq4sao8mn,Redlist - Good Vibes,2905
70AxXaSOTJ8pgr6TINWwBA,R&B Break Up Songs,46,1150574150,Steph Lindsay,2214
1dMGv983UpGGRXMFUFi0GR,R&B Throwback (90’s-00’s),109,ts5njf8z0om1wcyimy1piofo0,Steve,2067
1ktqDX3QW9mMA745p5bLaR,R&B / Rap Best New Music : December 2021,23,31agbuuphjybqdqoettemyxhu7ym,FrankiX,2036
6VzQB7ZZQFwIss2xaL7gC5,R&B/Soul/Acoustic,31,z9jnead90ofw0ty4iw8111dpr,binibining yena,1812
7vsQdh4oKf1DzP5pTykfl9,⭐R&B Mix,20,hyluxpotato,Karl's Jr,1755
4e7qbXwPl0ma1XZeVxR9u9,R&B Hits (2000-2009),468,agramonovsky,Robin Anthony,1432
6ODMckkTHpoRCQWGeIhTkt,R&B Christmas 💚❤️,28,e5z0vwmbstsrly5cao8f07rg8,Trin💖,1313
2WOYogyOxgvMiG85coSHL8,"R&B/Soul 80s,90s,00s ",299,_rdm905,_rdm905,778
2cDF5wuqgMVtTKtrovxvpW,R&B,110,31eldvdkmklfrd27v7oxvdul6aea,Duxxzx,522
4kyp3YkSsZyDIfrveG6m7Y,R&B Holiday Mix 🎄💚🎁,29,rgso1idqmkezsnyxji4m47ovq,Adeerya J,290
7nAB4XtrRpbkgYmmilOe35,R&B Français 90-2000's,79,idrame692,Cob_ibra,224
423jrAOAZOq36ZqFqMUy2V,R&B,256,11145592037,Ummagümmas,215
50CHKeYPEHUtCCWPru2ooZ,OPM R&B (Tagalog),317,22hdm2vi4zyz2glza7roitv5a,Kean San Juan Ayunan,202
5PDolDQGeZKUwfcNEFADCK,R&B Philippines Local ,44,317avsr5pggco3gzmq3422kbyxsu,Jellis Marwin Estrella,139
62lUJMN22Ih8IBTNFLJHSL,R&B Mix 90s - 2000s,28,214pfal7ttr7uyplslj5of4va,Dewi Wulandari,124
5belLD0zG4pxnRvKbzBBLk,Best of 2010s POP R&B,30,ace.reblora04,Ace Reblora,119
5dVtg0Eb7atAuu7C7KBLa5,R&B OPM CHILL,20,2z1p03z3osz2jayjumr46w6aa,mec4ca95@courriel.fr.nf,73
3ix6IIGiJiacDjpZiolIBg,R&B 90s,257,12186038552,Ayessa Galang,52
3gpmhCxhgqt1b74yxJDnMd,R&b,78,havrazcr7,havrazz1,44
1y1fAMKvdjKjtTewFSDWvu,R&B Philippines,43,8xco37tx8y9numy9wfku5d3aw,ALICE,23
5bC6vejlD8BlJHNlo6tUXp,R&B🤘🔥,471,calvinboyd_,calvinboyd_,21
2f6OiJuf7CRnXubluWB9sQ,r&b 😩,140,ey83rcgo2ma0d1pdz45ebuf2t,SB,20
