playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX0XUsuxWHRQd,RapCaviar,50,spotify,Spotify,14263104
37i9dQZF1DX76t638V6CA8,Rap Workout,59,spotify,Spotify,1601800
37i9dQZF1DX6PKX5dyBKeq,Rap UK,65,spotify,Spotify,988177
37i9dQZF1DWU4xkXueiKGW,Fresh Rap,38,spotify,Spotify,682298
4Ao85ZB0F474SYUelDH1Xi,Sad Rap,148,promotingsounds,Promoting Sounds,553995
37i9dQZF1DX0Na9FTYame5,Rap in deep,50,spotify,Spotify,490533
37i9dQZF1DWTf69iQOGkD2,Rap Acústico,70,spotify,Spotify,433815
37i9dQZF1DWTgSTuHRv7LV,Mucho Rap,80,spotify,Spotify,432671
37i9dQZF1DXcd2Vmhfon1w,Rap Español,50,spotify,Spotify,419555
37i9dQZF1DWXfi2vTRVTna,This Is O Rappa,30,spotify,Spotify,385160
37i9dQZF1DWXJnyndhASBe,RAP GENERACJA,50,spotify,Spotify,309636
37i9dQZF1DXcEJw9C2rUbi,Rap oder Liebe,50,spotify,Spotify,294241
37i9dQZF1DXdxFkXW4j8RX,Rap Chileno,100,spotify,Spotify,291896
38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022,235,kpu7ttyvk94i360ju1ym63upj,Desired Music,269877
37i9dQZF1DWYBofUhpgE88,Rap Motivazionale,70,spotify,Spotify,247359
4l1CEhc7ZPbaEtiPdCSGbl,Rap Francais 2021,85,thomas.guenancia,Thomas Guenancia records,209921
37i9dQZF1DX40O80BIPklU,Rap en Español,60,spotify,Spotify,205271
37i9dQZF1DWUQru3jd69v5,Raptopia,55,spotify,Spotify,202232
37i9dQZF1DWXRPjCBAuFj3,Rap Internazionale,70,spotify,Spotify,193299
37i9dQZF1DX37pZLd58ED5,Mezzanotte Chill Rap,60,spotify,Spotify,178105
37i9dQZF1DWXo9v62EXLlM,Rap sztosy,80,spotify,Spotify,160802
1M25OrTF4Zr6T1LJ7XGzx4,Clean Rap 2020-2021 / Best Clean Rap Hits 🔥,639,ikd5w5sgnw6dbvzb3vfaycex8,KULTPOP!,149502
37i9dQZF1DXdpF2suW27SP,Rap Tuga,75,spotify,Spotify,141620
37i9dQZF1DX1ct2TQrAvRf,RAP 91,50,spotify,Spotify,130868
37i9dQZF1DWSxF6XNtQ9Rg,Hit Rap Italiane,70,spotify,Spotify,117137
4wJJY7tYsrxhHGpGYuJo7K,WORKOUT RAP 2021 🔥 ,147,b2umpujki69td3thrxvmu0ajn,Bass Lovers,113739
37i9dQZF1DX3HUaZJRcDLd,Rap klub,60,spotify,Spotify,109339
