playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton,52,spotify,Spotify,10362968
37i9dQZF1DWZjqjZMudx9T,MANSIÓN REGGAETÓN,50,spotify,Spotify,4640600
37i9dQZF1DXbSbnqxMTGx9,Reggae Classics,60,spotify,Spotify,2546962
37i9dQZF1DX8SfyqmSFDwe,Reggaeton Classics,100,spotify,Spotify,2370717
7xWuNevFBmwnFEg6wzdCc7,REGGAETON 2021 ☀️,149,12127298960,Diego Bravo Morales (Bendi Music,1273258
37i9dQZF1DWVYs6zNzJ0ci,Reggae en Español,100,spotify,Spotify,1182790
37i9dQZF1DWWU6Rfto8Ppm,Reggaetón Viejito,200,spotify,Spotify,1052993
37i9dQZF1DXbwoaqxaoAVr,Sunshine Reggae,70,spotify,Spotify,564276
03sDEv7FN58Mb9CJOs1Tgn,Reggaeton 2022 😍 🔥 ,149,12168854749,Alex Garcia,547964
37i9dQZF1DWTMlvEhEJDRB,Nação Reggae,75,spotify,Spotify,489257
66WFalGuFXfed3D87cFGzA,REGUETÓN 2022  😍🔥 REGGAETON 2021 HITS,97,pacificspain,Pacific Spain,418045
4csIMGPI3aGo3Xy7WG8jBi,Reggaeton 2021: Todo Reggaeton,100,el_listón,Digster España,400533
37i9dQZF1DWYNSDUeK85ev,"Cachengue: Cumbia, Reggaetón & RKT",100,spotify,Spotify,386768
37i9dQZF1DXco4ODkIraMD,Reggaetón Rewind,125,spotify,Spotify,386686
37i9dQZF1DX3mvx0imueXo,Island Reggae,51,spotify,Spotify,365738
37i9dQZF1DWYtKpmml7moA,Chilled Reggae,50,spotify,Spotify,323988
061xZeYgr9dCCYh2MWovDs,REGUETÓN 2021 🎅 Lo Más Nuevo | Reggaeton,50,kunkbox,Kunkbox,246185
37i9dQZF1DWZpPC3clG38j,Pinoy Reggae,33,spotify,Spotify,213201
37i9dQZF1EQpjs4F0vUZ1x,Reggae Mix,50,spotify,Spotify,184646
37i9dQZF1DWT3qht9CfnL3,Reggaetón para Tu Ex,50,spotify,Spotify,160577
61vj4VRIorkDMWZZIdbGLE,REGUETÓN 2022  😍🔥 REGGAETON 2021,100,jscd88ifetpj8m4i1tivevgbw,FIESTA,134369
4qmV1veTGtXVEmAPg9aPzs,REGGAETON 2021 🔥 'LO MEJOR DEL REGGEATON 2021' 🔥,151,partyfiesta!,partyfiesta!,126606
37i9dQZF1DX2oc5aN4UDfD,Ultimate Reggae,50,spotify,Spotify,104967
3jiMoHOxNyWirmlxkcsdDM,Reggaeton 2022 🍾🍻🎊 🎈,152,promotionz503,Music Marketing 503,100936
37i9dQZF1DXa8n42306eJB,Reggae Party,69,spotify,Spotify,97412
0s8tfHVdQa8duFMev3ZlgD,Dub Reggae,141,constantinex,Constantinos Zervos,97335
37i9dQZF1DXawmJ5HnBNtX,Reggaetón: Los '2000,100,spotify,Spotify,88389
42E6uFhL4e2nXmbmeigwXb,REGGAETON ANTIGUO 🔥,191,aleexsanchezm,aleexsanchezm,87636
37i9dQZF1DX963rxJxOMIA,Reggaetón Colombia,60,spotify,Spotify,86891
37i9dQZF1DX4iPyiZG8RHQ,Reggae Nation,40,spotify,Spotify,80709
6GIsLGY639AcJmgSfhQx7C,REGGAETON VIEJITO,121,bxk8yvt9d9h07n8hhmicyqbyg,Reggaeton1987,73833
37i9dQZF1DX4Ux6OGNoFON,Volando con Reggae,60,spotify,Spotify,65475
3u53ZW23grMWCGO306lK7A,Reggaeton Antiguo😍🔥,242,promotionz503,Music Marketing 503,64700
5b9AV5zwI4VDqBagX7Vpex,Reggae Nacional - O melhor do Reggae Brasileiro🎶🇧🇷,136,wtrolly,@playreggaenacional,63721
37i9dQZF1DX6W96LPxlVEm,Maneja con Reggaetón,80,spotify,Spotify,61708
37i9dQZF1DX5hIsIIk6w1F,Reggaetón Chileno,102,spotify,Spotify,59339
4Ox1cEOCzfJVrDmwjy0kVK,Reggae Covers Hits,101,11149656956,Antonin Fons-Llatas,57891
6tSGPSpWiO7BnrsdM4GU3L,Reggaetón vieja escuela ,83,21tuk5bd4iedgr3kf53psmw4y,Marko Perez,53602
37i9dQZF1DXd8p9XRfIfUn,Academia Reggaetón,60,spotify,Spotify,51067
3BcMRvar0zLaT3bHkZqT69,REGUETON VIEJO 🍑 REGGAETON ANTIGUO,113,pacificspain,Pacific Spain,48141
5XgeCmpurFQRyHBmWIufN1,"Vintage Reggae Cafe 1,2,3,4,5,6,7,8,9,10,11",133,pitusym,pitusym,48100
5pgrfIsCyxl3xjq6bVeDVi,Reggae Summer Beach  🎵🌞🌊💚💛💖,120,119679940,Reggae Summer Beach,46055
37i9dQZF1DX20S3TU4dlyR,Reggae Al Sur,89,spotify,Spotify,44082
0U2MALxAa293nQiIU2x2XB,Mix Reggaeton 2021 · Éxitos Reggaeton 2022,105,mejoresplaylistsspotify,Filtr Éxitos,44054
37i9dQZF1DX1ziQH0F90kL,Now & Then Reggaeton,90,spotify,Spotify,43657
24PzmeecIoHu8deaWzlNTa,"Reggae en Español, reggae es amor",123,12130259920,Alex Moreno,42445
42j6Q4GE9KudrO5nGreHqo,REGGAETON ANTIGUO ,338,11186833571,Antonio Ortega,41038
2ac00RfnLIVfFe5cLcDRjB,Reggaetón Viejito 🔝🔥,59,corcccstep,Omar RamCast,40757
37i9dQZF1DX3KVUA2wMxEf,Reggae Luv,60,spotify,Spotify,39152
4Psc497tUK9IlNmDc7XuBl,Reggae Brasil 2022 - Reggae Nacional - Reggae Brasileiro Natiruts Maneva Chimarruts Planta e Raiz,62,rgh8y9s8onjc0n6u1cojqrsdk,Great Music,38388
5xmyFjKujYfzOSlkO44itw,Reggae Vibes,46,7sj8zj2mq41yrtbqxl71ysrb5,Gobi Desert Collective,29289
603yrFY9u1TcG39nNAIzt4,Reggae 🇯🇲,172,nq8c7l69pyyrfhci2brk70ok6,Impronta Music,29162
2mg7c9UprC9IbEg6NQ82if,Reggaeton 2015 - 2016 - 2017,102,colito95,Matias Daniel Cañete,28218
2cpU6L7z7MRV3YoyvyoPia,Reggae Chill Philippines 2021 💛💚❤,44,jyhra99st5nhex8kfo4um2dh7,buntala,27639
2ORXYafjl2DB4HOXxXNf7t,Reggae Old School ,88,chochéromano,Choché Romano,26254
5wC2X3QsfCc8M3KVv0wkDa,• Reggaetón Viejo (2006-2013)🍻👌,310,severorobles,Severo Robles Teran,25111
3CxvQvfoHsM9wVAdSHydv2,Reggae/Dub,1165,andrestroyer69,Andrès Vangheluwe,24724
5vOVVEvCfZJKYZDuxZ5JB2,Reggae Argentina,101,walterbotta,Wally,24529
1ByBhdfeo6GG2KU3mv0l5b,MIX REGGAETON 2022 🤩,73,9oabcfo6nnapyicavmm0bp6xs,PlayLatino,21472
3z0zQdiFbPdiZ1I7xRpqPx,Old School Reggaeton 🔥,61,yojessicaflores,YoJessicaFlores 🌿,19464
4ONdTgODsdMvCrJ9ANld3Y,Reggae Best Of,96,sebltv,sebltv,17388
6CEDiiQvFRhMXdkg6ww0lL,Reggae Pedrada ❤️💛💚,38,223nkhgktjrrvmzvddf5djbni,Bruno Toledo,15092
0e6tsKYpc9HoO7y6pXvLPQ,Reggae Roots 🇯🇲🍁,452,225f5yaxyftllif3ssd64m4da,Matheus Castro,15088
0t4z1E4QTmB7EWSBH7kUEh,CLASICOS DEL REGGAETON,706,12136972407,Diego Copete Rivera,13388
37i9dQZF1DX54UIszz9BMX,Lo Mejor de MANSIÓN REGGAETÓN 2021 ,50,spotify,Spotify,12431
