playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWXRqgorJj26U,Rock Classics,173,spotify,Spotify,9810263
37i9dQZF1DX1rVvRgjX59F,90s Rock Anthems,100,spotify,Spotify,4555610
37i9dQZF1DX1spT6G94GFC,80s Rock Anthems,80,spotify,Spotify,2143197
37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock,120,spotify,Spotify,1523552
37i9dQZF1EQpj7X7UK8OOF,Rock Mix,50,spotify,Spotify,1462897
37i9dQZF1DX49jUV2NfGku,Rock Solid,80,spotify,Spotify,1285451
37i9dQZF1DWZU5DGR2xCSH,Iconos del Rock Argentino,80,spotify,Spotify,994475
3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",402,juan20150,Juan20150,882614
37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,155,spotify,Spotify,804162
37i9dQZF1DX0rCrO4CFRfM,Acoustic Rock,50,spotify,Spotify,764832
37i9dQZF1DWUoqEG4WY6ce,Indie Rock Road Trip,89,spotify,Spotify,762777
37i9dQZF1DX30HHrCAl4ZG,Today's Indie Rock,100,spotify,Spotify,748474
37i9dQZF1DX4vth7idTQch,Rockhymnen,100,spotify,Spotify,594327
37i9dQZF1DWXs1L3AC0Xio,Rock Ballads,100,spotify,Spotify,587078
37i9dQZF1DX2S9rTKTX6JP,Rock Covers,100,spotify,Spotify,578142
37i9dQZF1DXbMYUPb05hjJ,Garage Rock Revival,90,spotify,Spotify,570249
37i9dQZF1DWYNSm3Z3MxiM,Classic Rock Workout,65,spotify,Spotify,540346
37i9dQZF1DX2UXfvEIZvDK,Modern Chill Rock,60,spotify,Spotify,537378
37i9dQZF1DWYDQ8wBxd7xt,Pinoy Classic Rock,63,spotify,Spotify,525814
37i9dQZF1DWUNNEvaozpW5,Rock Español,75,spotify,Spotify,482068
37i9dQZF1DX35DWKgAk2B5,Indie Rock Club,50,spotify,Spotify,479279
37i9dQZF1DWTMU14XJYy0g,Rock Argentino,100,spotify,Spotify,456282
