playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX1tLHZHOkEVR,Wedding Party,148,spotify,Spotify,253533
37i9dQZF1DX4adj7PFEBwf,Wedding Bells,75,spotify,Spotify,240867
37i9dQZF1DX3Z99viCDp7Q,Wedding Songs,39,spotify,Spotify,147138
37i9dQZF1DXbTR7abB7Ji7,Classical Wedding,30,spotify,Spotify,77742
43eWkIiNDbimyD35iong1G,Wedding Songs 2021,60,warnermusicus,Topsify US,66226
37i9dQZF1DX6u0kO0LnVfA,Punjabi Wedding,62,spotify,Spotify,51747
6ZnPVVQBBUkRLdul5HP0z3,Wedding Ceremony Songs (Playlist),184,117687144,Matt Johnson,43717
2tYBsYfEo7Lxi3CiVjI2L1,Wedding Party Playlist🍾🎉,199,1212355624,Yael Rudensky,41179
0kkP1ePcVc0BFFIM4Mf1pb,Country Wedding Songs,124,soundslikenashville,Sounds Like Nashville,25796
37i9dQZF1DX08H7nWHvEIf,Wedding Bhangra,68,spotify,Spotify,21031
6ZUB4KFfWeYMjxKnzbAWgX,Wedding First Dance,130,737imwh2x6hu310n4e6fkg051,Meritage Entertainment,19872
1Yue7lUm3lifLTjE1B7K1w,Wedding Instrumental Music,42,brooklynduo,Brooklyn Duo,17340
625VNS9c1JS5QHBjaYeJ4P,Wedding • Reception,500,o6ql9w4qyjd19beprvphfddt8,Johnny Infamous,16521
4J3Wn8kUZ4pibK6vaVBn9A,Bollywood Wedding Songs - Official,192,tseriesofficial,Musico Playlists,14621
7jo77oC6G1fYY0xhaLN0wf,Wedding Reception / Party Songs 2021,108,jms23,Jess Spoll,13760
1o1RakJXDw6WtHNmaCLn4e,Indian Wedding,71,filtrindia,Filtr India,12679
62mNggxlpwgKQllIOXSPTf,Wedding Songs (English & Tagalog mix),59,7uykt825kdgqomp8t495dx10l,Kirby A.,11367
3bEDskUxbu6xi2n3ZdyYqr,Wedding Dance Party Mix 2021,152,12547783,Blake Hogen,10963
2JuzvyZp3TxJJYuwtpeUs8,dream wedding playlist,49,xc5y1trphtr4l8kpiwzm5uo7a,ichawarobi,10247
37i9dQZF1DX3qS3zyciZpU,Country Wedding,99,spotify,Spotify,9117
6Qvs2j7tFhsxpWtnxCy6Q5,Wedding Songs,121,lwed33yg4ldh25qvm6anhaktf,The Acoustic Room,9083
5aGfPUbL8cmXTDcmMip4LR,Oldies Dance Party/Wedding,91,1226702294,Caitlin Hornsby Cadden,8876
2biKbqzooZXMKO9ZpRaT6S,Wedding Aisle Songs,288,redcarpetentrances,redcarpetentrances,7918
3Vk6NuKYqbAIkvKIns75EU,First Dance Wedding Songs,137,alambarri-mx,Anabella Lámbarri,7484
4k894zvcfZtW7YbLPqUNCW,WEDDING PIANO COVERS,32,hankinsonmusic,hankinsonmusic,7148
3Gj0pKS5dWRZin4Al4DHI5,old punjabi songs (wedding),57,12179974641,Mahima Saini,6908
1hlnzmM4nVyP5PFwjydPHM,Canon in D (Wedding Version),57,yjrcw7zmg6zmaw0v44rcga8av,Cooper,6486
3mBuGFf9D34bFINw0etPRJ,WEDDING SONGS,196,gina.rositzki,Gina Rositzki,6401
3ZbwJEubmpOpsOQ06x32d5,Wedding Songs Acoustic Covers,67,oiuwvgguae0e0yjbwni6r111n,The Cover Lover,6334
6jAarBZaMmBLnSIeltPzkz,The Best Wedding Songs of All Time,100,p39lb8lamlmb12jflovwn4ytl,Hitched,6272
6Us2mSkvbDRUsfNjNiCXYD,Top Wedding Reception Songs,107,12159041189,Cooper Brown,6127
3sHDtP86YcFvMQuqjc0OnN,Punjabi Wedding Bangers,165,sumritsanghera,sumritsanghera,5845
0VXPglEiIOD3Xututo8Jh2,Desi Wedding Songs ,269,227meeqwur5xrzlrq327736hy,Faria Syeda,5788
6I4j3UQ34FLIJqZoqIz5Wl,Newfie bay wedding,65,8rb745gpbtw1ugmjv8iu8ixkh,Brandonwst.croix,5671
1T2qBxzLa6HURv8Nw9yqlP,1st Dance Wedding Songs,158,gavksbno6pfvzn6gwphfs80zh,Dreamlite Entertainments,4769
0S74SAbrwWwi6a8p48FU6u,Boda México 2021 Top Wedding,256,et461l8y2upb484j1miuce14c,Decon DJs,4080
6dgmXUpFqdnTA79xRJcPUu,Wedding Day Getting Ready ♥️,67,124900605,Meagan Allen,3905
6LOA60QzpyXHzUbS16JhQZ,Albanian Wedding 🇦🇱,66,1138298340,Katja ♡,3639
4CmdIldS9a62Equo5sDEgF,Indian Wedding Sangeet Songs,58,eulziudk0oxqq1pwga1ojxxh3,Studio House,3217
61edaF8fYzd6lfajxvCAok,Wedding Songs ( Lagu-lagu Pernikahan ),145,21tzvdpua7lciaod5b2kw2y4q,Otto Dimas Pangestu,3192
5SyTpvKyk37GMrbRpS2OyM,Tamil Marriage/Wedding Songs,47,31ifyfhzlbqada4zx4nf7xdugcpm,Shabeer,3177
2aE33o5RfWtS6S96QXnF3p,Bollywood wedding dance songs,92,31ytiz4mal3s6krq4pk7bcxyp3ka,Sayali,3045
37i9dQZF1DX9ay3zGp3p8Y,The Wedding DJ,80,spotify,Spotify,3030
4Mycba7L0DBdLYfzP1x4BU,Wedding Bride Entrance Songs (Instrumental),32,128759368,Ashley Poolman Knol,2813
4o6oMwbDs8qL42Q8Y58Ws1,Wedding Songs- Soft and Sweet,74,11171302118,Yun-Wei Chou,2801
5lmDlVRqbT6lFMagMuXPxf,Arabic Wedding Hypelist,106,bmaoud,bmaoud,2749
6F2aSmGp1rqMVIsgcOqqTO,Wedding Piano Covers,39,1219291551,The Chillest,2715
5hACYxWnjbdfKGkKpEeJAf,Wedding playlist (acoustic covers),143,12137069669,Earl Christopher Bayangos,2572
2WAeymVlOA1k7lgJN0x3kA,Wedding Songs 90's-2000's,38,o2xgm947ms13m9cf9keirosl3,Edchy,2428
5dbY03NZu51TI4EKklYSeg,Afghan wedding songs,91,hpqzcsbkueryfy76ffjagw80j,Sabrine,2423
1tKI89hZemb3vlytM234BI,somali wedding 🇸🇴,47,salmaabdirashid99,Salma,2421
6RmBxJEQltfBoVJAOtAzDZ,Hindi Wedding Songs ,59,athapa_may,athapa_may,2242
7nA67oEk6iRY3RXUtfz06I,Maroccain Wedding 👰🏻🇲🇦,403,ouassimo,ouassimo,2216
1xl0CluaiouEYY7CspCFZ0,Tamil Wedding Songs,100,mtrnan,Tamilfact,2156
2jjrgP5K9s9hLE0n19o4LM,Wedding Floorfillers / Party Playlist,70,117687144,Matt Johnson,2134
4jRRq8UhTtR1HOOIPvqZmB,Wedding Love Songs,65,shabrinaalba,歿,2060
5ItPGZA8CrkjLpTYEeBYub,Wedding Songs Philippines 2020,60,patriciareyes.ce2013,ereezia,1966
6KKqO3dGSmG3SMOGOYVF0V,Albanian Wedding Tallava🇦🇱,165,q7o0xuyxh3rjw1kup2cf1falr,Rabiyeek,1942
5iw7eD9CujMMjEzqI98CNU,Wedding Vibes,69,vcz33n76lapppqdvtmwg66ro7,Meena,1823
4TBuIiyG2hgpoiKOilnQUr,Arabic Wedding Party,204,11163733394,Taner Öztürk,1669
03ydy6jhIeXDY8rAa4ApyQ,WEDDING RECESSIONAL,54,1255583643,Mikie Dellinger,1552
2UuZ8yrDUMoPcxoFIrFpuZ,Indian Wedding Party Songs,59,123276705,Karishma Desai,1356
1bvzEBQefbx7ORxcjt1X9Q,Bollywood Wedding/Dance Songs (Old),72,22plhl4wi2cuux3cd4n4mlgiy,Rakshya,1352
4u0glpH0HBw3PIoGz3Una4,TOP 500 WEDDING RECEPTION SONGS,495,22bjnze3ispx2jhjezay4nhuq,Eric Bratton,1246
20wr7Fs8bDYTHSqFNV2XF0,Punjabi Boliyan/Wedding Songs,60,22bhglw73e7nk2a6bqd77s46i,Shivani Kapila,1210
1MrpUSao4nkK6LtoQh1YXY,Punjabi Wedding Songs ,148,1261253800,Kiran Balla,1112
7iPgSkA3SGZxMdmTYAZ7fP,First Dance Songs for 2021 Weddings,108,mikestaffproductions,mikestaffproductions,1090
6Zjz0tu37mciuxwASHLZWp,Wedding Playlist 2022👰🏼‍♀️🤵🏼,240,12173148882,Emily Fergie,1064
31cUmUA7pcEFnJpMpx7oUU,WEDDING GRAND ENTRANCES,68,1255583643,Mikie Dellinger,1046
