playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
6xGLprv9fmlMgeAMpW0x51,"Strange Fruits Music 🍉 dance music to workout, game, party",89,a902190,Strange Fruits,5448167
37i9dQZF1DX70RN3TfWWJh,Workout,100,spotify,Spotify,4548132
37i9dQZF1DWUVpAXiEPK8P,Power Workout,50,spotify,Spotify,3843582
37i9dQZF1DX0HRj9P7NxeE,Workout Twerkout,50,spotify,Spotify,1725766
37i9dQZF1DX9ZKyQHcEFXZ,Perreo Workout,100,spotify,Spotify,1602803
37i9dQZF1DX76t638V6CA8,Rap Workout,59,spotify,Spotify,1602010
37i9dQZF1DXe6bgV3TmZOL,Adrenaline Workout,120,spotify,Spotify,1353816
37i9dQZF1DX8CwbNGNKurt,Throwback Workout,75,spotify,Spotify,1167439
37i9dQZF1DWUSyphfcc6aL,Workout Beats,70,spotify,Spotify,1049015
0L33OqcgnqcdtUDhUAyfPW,Workout Music 2021⚡Trap Gym Playlist ⚡Magic Music,160,magicmusicsquad,Magic Records,889464
2237sMNMlXS4wWLgdQ1UuV,Workout Motivation 2022💪,191,0m032eeptq5o63mbnwtfpybct,Slagelhag Workout,687048
190wZ2oVo7MTrBvNlPiub2,"Workout Music 2021, Gym Music, Treino, Cardio Music, Training Music, Fitness Motivation, Bass Music",100,ndnto1q1sqfpl6r7uvuyfzo0q,BLACK DOT,589544
37i9dQZF1DWYNSm3Z3MxiM,Classic Rock Workout,65,spotify,Spotify,540412
37i9dQZF1DX0BZrbvIqxCd,Punk Rock Workout,100,spotify,Spotify,517529
37i9dQZF1DX6hvx9KDaW4s,The Rock Workout,50,spotify,Spotify,466745
37i9dQZF1DWY3PJWG3ogmJ,Extreme Metal Workout,120,spotify,Spotify,419602
37i9dQZF1DWVciwe52Zt0R,Workout Hits,51,spotify,Spotify,407480
2PAGgoyhVYdC0q6vnb8qAL,WORKOUT Music Hits 2022 🏋️‍♂️,137,hbhz741mqsyfv0zafwby1nbq0,OneSevenMusic,341375
37i9dQZF1DWZY6U3N4Hq7n,80s Workout,80,spotify,Spotify,279530
7AiuMp1D8Hli18nyTbriZ9,Workout Playlist 2021 👊 💦,91,metrmusic,metr,250134
37i9dQZF1DX73EtbU4jEcn,Top Hits Workout,100,spotify,Spotify,235346
37i9dQZF1DXaL0oUdaMtnP,Throwback Workout,50,spotify,Spotify,214113
5c32pMh10kzjY7KDjeNNE6,WORKOUT MUSIC 2021 🏋️💪️‍🔥,105,43xzlwfo0tft7hn5r5e6dksrd,LoudKult,131186
37i9dQZF1DX3wwp27Epwn5,Bollywood Workout,60,spotify,Spotify,121172
37i9dQZF1DX9s3cYAeKW5d,Hip-Hop Workout Mix,77,spotify,Spotify,120944
4wJJY7tYsrxhHGpGYuJo7K,WORKOUT RAP 2021 🔥 ,147,b2umpujki69td3thrxvmu0ajn,Bass Lovers,113825
37i9dQZF1DXdMm3yYbD7IO,90's Workout,83,spotify,Spotify,105434
12xgLeTIUrC5A6UhjHQoch,GYM MOTIVATION & WORKOUT MUSIC,201,fitleague,fitleague,101746
37i9dQZF1DXbeUHEkt5uXG,Home Workout,50,spotify,Spotify,85510
3vULfbikdfylmVbv31uYAC,Workout Pop Music 🧘‍♀️ Upbeat Pop Workout  ,164,9z6ia73w6pt44c1zo5y8nhxqn,Musicgirl,85021
3ybnF1ZkG9Y2LZhr15eFQi,"Gym Motivation, Training Motivation, Workout Motivation, Gym Music, Workout Music, Training Music",271,manifesto.,The Desert Memories,79007
37i9dQZF1DWYFxWneFvmP1,Workout Viral,51,spotify,Spotify,73839
37i9dQZF1DWUX4dHd4gmc7,Workout Hip-Hop,76,spotify,Spotify,73326
7DaNB3xvJ4F96C66mQgmpS,Workout Bangers,73,digster.fm,digster.fm,69504
0di4SOghem4bqf7KemD1KW,RUNNING MOTIVATION 🏃🏻‍♀️ HITT WORKOUT ,641,leahmurphy924,Leah 🕺,68636
37i9dQZF1DXcQmoKHc2TWz,Dance Hits Workout,100,spotify,Spotify,63145
36s4ujxadmwLgfYQZRJO0A,Workout Beast Mode,115,bounceandbass,bounceandbass,59539
69N5GrdsCrd9l7iqpcoLc7,Workout 2022 🔥 Exercise Music 🔥 Best Dance Music 🔥 Best Dance Pop 🔥 High Energy 🔥 Cardio 🔥,178,kpmvso2hddt008tdym03gycwi,Hit Music Group,55663
37i9dQZF1DX5OrO2Jxuvdn,Country Workout,100,spotify,Spotify,55392
1GfuMQxvw8BcgUx0ozH3fl,Workout Playlist 2021,134,myplay.com,Filtr US,54874
6RsGhxdfXgazSsBIH98vwW,Workout ,28,4wdi11tctuv9fdgzzfja2ybg6,Day & Night Records,51219
7bN9SOW0HJhzaXiukGKrM0,Workout Pop Hits,350,adrian308-my,adrian308-my,48638
4WZS2CWrUd86DUDJnsdXEq,METAL WORKOUT MUSIC,1257,thomas7503,Thomas Skotheim,41936
37i9dQZF1DWYK2yx0OW9Kj,Workout Latino,75,spotify,Spotify,38098
545iVxoZPk74Ir5rFdXDDf,GYM BEATS 2021  🔥 GYM WORKOUT 🔥 GYM MUSIC 🔥 GYM MOTIVATION 💪,162,hotamazingnetwork,hotamazingnetwork,37841
5XoGCyXu8TWiHZ701KkhZa,Workout EDM 2021 | Motivation,73,11124443444,Naeleck,36228
2DrF7jL2DhpmdcdBOQpTdP,Workout Songs - English & Hindi,120,21bndtml2xod5dachhq7v5xxq,Ankit Agrawal,34104
50tv5QvHEvGdS5MRfFL1C8,Workout Beastmode,64,georg.bauck,georg.bauck,32073
282qSXRozIyie7XchArY2o,Workout Songs 2021 - Best Gym Playlist 2021,60,redmusiccompany,redmusiccompany,31145
4mk1o6g93vy9e9DDOaapX3,Workout Hype 🔥 Rap Workout Songs That Go Hard / Gym Hype / Workout Rap / Pump Up Hype ,257,lqz5moj5fvn3k4mrdg9ewu0g1,HITS,29358
5moqnliluz9pb3vb1Hbcxe,Workout Music 2022 🏋️💪️‍🔥,63,opq6vtouw1q5dy3het5oqrmvr,mandrews33,26315
4VxSECZIzYKlPLqB3IYvVX,Hard Workout,111,alexsvaale,alexsvaale,23232
0OxRbscW9gq3FzENFlUPes,Workout Playlist 💪🏽 Hot Girl Gym Hype ,211,lqz5moj5fvn3k4mrdg9ewu0g1,HITS,21013
6f36ma26ZFVQJ5ENPCTmYM,HEAVY METAL WORKOUT,118,fitleague,fitleague,19565
4xdujGqwNnAn5gC0yFRWMZ,WORKOUT SONGS 2021 💪🎵🏋️,67,nkqjz10d3n8n5jz8zy0aql6x2,Sands Random,19065
20c3SIkTseId4lHvzYrGsF,BOXING WORKOUT 🥊😤,58,fitleague,fitleague,18852
37i9dQZF1DX8To1hlfhp7U,Workout Bhangra,74,spotify,Spotify,18438
3iYLIBDCbFk9JyIh8tfgeK,HIIT Workout 2022 💪,67,uadv6depf8ezgvfqqumqbmk5x,Matata Records,18323
6INWqzuPIenC2Qa6q5GQAy,Running Motivation - HIIT Workout,66,thelatestsounds,TheLatestSounds,18102
396scwjxaM6xAAjYB5Pbfq,Bollywood Gym Workout,41,tabvlg41p89ng3z8900lp7dwn,dhwani,17317
15En0J5jO5N84OypAq9Ro6,Motivational workout songs,105,fbaehn1x5ss3i7g0joz7t6puh,Tristan,17072
2BtpS2nMLNh85AHKZOMBV2,Workout 2021 💪 2022,125,sonymusicentertainment,Filtr Sweden,13361
1sAmVsVRK1UQO6ohe9EfQ1,Gym workout english ,14,317rxucvygstebgllhyolddrq2ea,Nitesh Sharma ,13204
0sWyckJ8KrH2HbdiRGliyl,Rock Workout 2022 💪,73,uadv6depf8ezgvfqqumqbmk5x,Matata Records,12939
5szak97F9g5KufvE9gI3wZ,Dubstep Workout 2021 💪,62,11124443444,Naeleck,12841
35d2SmXxM1NetFCE9hyyHn,Hindi Workout Beast Mode,58,rajan.bajaj,Rajan Bajaj,12417
18Zar95PYYi0ju0QeJeTWu,Eminem Workout Insane Workouts Only,26,roberto40390,roberto40390,12088
37i9dQZF1DX6wGFpjL3GyJ,House Workout,50,spotify,Spotify,11915
2INhqB2anAAPWQwmJNnrHE,DOOM Workout,16,109hbanddv7nzjeenv159jzs7,Tony,11892
4G51tvKZeNePpd9UWcuMmn,K-Pop Workout,169,nalbon,Niki Jack,10013
0I3w1r7qXxd8rVBkWVkXbn,Workout: 2000s Throwback Faves,30,1p9no00m8sfjb63zd52v6ghgi,jerabean,9517
0CwtBk2I7V0XIHhxC1OJYi,bad bunny workout🔥,72,andreinaochoav,andy💗,9381
26XeGg6dQZvMy7lSlNzoyb,NF WORKOUT,35,1276075461,Scott Krees,8811
0c2QdGFFeiMByGvoUqW73A,Workout anthems (BBC Radio 1),414,z1gz37q8ugpt6u1xdyelgzfmy,Román,8510
4679Vd8nMZwlB2QO6GRIQm,Workout Motivation 2022 💪 Epic Vibes,64,312avoycbyo353bvbqm2mpdnghjy,Unplugged,7410
2bKpGFoUsplvWkdhAe2Tlt,Best Workout Hip Hop 🏋️‍♂️,242,1226320322,Manolo Sanchez,7040
